Count,Name,Card Number,Edition,Language
1,Seismic,33,Jumpstart Front Cards,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,64,Jumpstart,English
1,Ashmouth Hound,290,Jumpstart,English
1,Bloodrock Cyclops,297,Jumpstart,English
1,Cinder Elemental,304,Jumpstart,English
1,Grim Lavamancer,331,Jumpstart,English
1,Magma Jet,346,Jumpstart,English
1,Magmaquake,347,Jumpstart,English
1,Molten Ravager,351,Jumpstart,English
1,Seismic Elemental,362,Jumpstart,English
1,Spitting Earth,364,Jumpstart,English
1,Volcanic Fallout,368,Jumpstart,English
1,Mana Geode,472,Jumpstart,English
1,Volcanic Geyser,171,Core Set 2021,English
6,Mountain,,Core Set 2021,English
