Count,Name,Card Number,Edition,Language
,Archaeology,3,Jumpstart Front Cards,English
2,Archaeomender,9,Jumpstart,English
1,Lightning-Core Excavator,32,Jumpstart,English
1,Thriving Isle,36,Jumpstart,English
1,Island,49,Jumpstart,English
1,Sharding Sphinx,176,Jumpstart,English
1,Thirst for Knowledge,183,Jumpstart,English
1,Vedalken Archmage,187,Jumpstart,English
1,Aether Spellbomb,456,Jumpstart,English
1,Ancestral Statue,458,Jumpstart,English
1,Hedron Archive,468,Jumpstart,English
1,Juggernaut,471,Jumpstart,English
1,Meteor Golem,474,Jumpstart,English
1,Buried Ruin,491,Jumpstart,English
1,Prismite,235,Core Set 2021,English
5,Island,,Core Set 2021,English
