Count,Name,Card Number,Edition,Language
,Milling,23,Jumpstart Front Cards,English
1,Bruvac the Grandiloquent,10,Jumpstart,English
1,Thriving Isle,36,Jumpstart,English
1,Island,50,Jumpstart,English
1,Belltower Sphinx,141,Jumpstart,English
1,Reckless Scholar,168,Jumpstart,English
1,Selhoff Occultist,174,Jumpstart,English
1,Sweep Away,180,Jumpstart,English
1,Thought Collapse,184,Jumpstart,English
1,Thought Scour,185,Jumpstart,English
1,Towering-Wave Mystic,186,Jumpstart,English
1,Vedalken Entrancer,188,Jumpstart,English
1,Wall of Lost Thoughts,190,Jumpstart,English
1,Capture Sphere,47,Core Set 2021,English
1,Teferi's Tutelage,78,Core Set 2021,English
6,Island,,Core Set 2021,English
