Count,Name,Card Number,Edition,Language
,Pirates,27,Jumpstart Front Cards,English
1,Corsair Captain,11,Jumpstart,English
1,Thriving Isle,36,Jumpstart,English
1,Island,52,Jumpstart,English
1,Chart a Course,142,Jumpstart,English
1,Coastal Piracy,144,Jumpstart,English
1,Departed Deckhand,149,Jumpstart,English
1,Kitesail Corsair,155,Jumpstart,English
1,Prosperous Pirates,165,Jumpstart,English
1,Rishadan Airship,170,Jumpstart,English
1,Sailor of Means,172,Jumpstart,English
1,Spectral Sailor,178,Jumpstart,English
1,Voyage's End,189,Jumpstart,English
1,Waterknot,192,Jumpstart,English
1,Pirate's Cutlass,477,Jumpstart,English
6,Island,,Core Set 2021,English
