Count,Name,Card Number,Edition,Language
,Under the Sea,40,Jumpstart Front Cards,English
1,Thriving Isle,36,Jumpstart,English
1,Island,46,Jumpstart,English
1,Aegis Turtle,138,Jumpstart,English
1,Cryptic Serpent,146,Jumpstart,English
1,Octoprophet,161,Jumpstart,English
1,Sigiled Starfish,177,Jumpstart,English
1,Sweep Away,180,Jumpstart,English
1,Waterknot,192,Jumpstart,English
1,Whelming Wave,193,Jumpstart,English
1,Wishful Merfolk,197,Jumpstart,English
1,Unstable Obelisk,489,Jumpstart,English
1,Pursued Whale,60,Core Set 2021,English
1,Waker of Waves,84,Core Set 2021,English
7,Island,,Core Set 2021,English
