Count,Name,Card Number,Edition,Language
,Teferi,38,Jumpstart Front Cards,English
1,Thriving Isle,36,Jumpstart,English
1,Exclude,152,Jumpstart,English
1,Leave in the Dust,156,Jumpstart,English
1,Prescient Chimera,164,Jumpstart,English
1,Sage's Row Savant,171,Jumpstart,English
1,Talrand's Invocation,182,Jumpstart,English
1,Opt,59,Core Set 2021,English
1,"Teferi, Master of Time",75,Core Set 2021,English
1,Teferi's Ageless Insight,76,Core Set 2021,English
1,Teferi's Protege,77,Core Set 2021,English
1,Teferi's Tutelage,78,Core Set 2021,English
1,Tolarian Kraken,80,Core Set 2021,English
1,Vodalian Arcanist,83,Core Set 2021,English
6,Island,,Core Set 2021,English
1,Island,310,Core Set 2021,English
