Count,Name,Card Number,Edition,Language
,Heavily Armored,18,Jumpstart Front Cards,English
1,Supply Runners,7,Jumpstart,English
1,Trusty Retriever,8,Jumpstart,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,43,Jumpstart,English
1,Battlefield Promotion,91,Jumpstart,English
1,Bulwark Giant,93,Jumpstart,English
1,Divine Arrow,100,Jumpstart,English
1,Lightwalker,118,Jumpstart,English
1,"Mikaeus, the Lunarch",123,Jumpstart,English
1,Patron of the Valiant,128,Jumpstart,English
1,Basri's Acolyte,8,Core Set 2021,English
1,Basri's Solidarity,10,Core Set 2021,English
1,Makeshift Battalion,26,Core Set 2021,English
1,Tempered Veteran,41,Core Set 2021,English
6,Plains,,Core Set 2021,English
