Count,Name,Card Number,Edition,Language
,Enchanted,14,Jumpstart Front Cards,English
1,Stone Haven Pilgrim,6,Jumpstart,English
1,Trusty Retriever,8,Jumpstart,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,42,Jumpstart,English
1,Blessed Spirits,92,Jumpstart,English
1,Face of Divinity,103,Jumpstart,English
1,Forced Worship,104,Jumpstart,English
1,Indomitable Will,109,Jumpstart,English
1,Knight of the Tusk,114,Jumpstart,English
1,Knightly Valor,115,Jumpstart,English
1,Kor Spiritdancer,116,Jumpstart,English
1,Anointed Chorister,4,Core Set 2021,English
1,Dub,16,Core Set 2021,English
1,Faith's Fetters,17,Core Set 2021,English
6,Plains,,Core Set 2021,English
