Count,Name,Card Number,Edition,Language
,Feathered Friends,15,Jumpstart Front Cards,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,44,Jumpstart,English
1,Aegis of the Heavens,79,Jumpstart,English
1,Aerial Assault,80,Jumpstart,English
1,Archon of Justice,89,Jumpstart,English
1,Archon of Redemption,90,Jumpstart,English
1,Dauntless Onslaught,99,Jumpstart,English
1,Healer's Hawk,107,Jumpstart,English
1,Sky Tether,133,Jumpstart,English
1,Celestial Enforcer,11,Core Set 2021,English
1,Concordia Pegasus,12,Core Set 2021,English
1,Falconer Adept,18,Core Set 2021,English
1,Gale Swooper,20,Core Set 2021,English
1,Warded Battlements,44,Core Set 2021,English
6,Plains,,Core Set 2021,English
