Count,Name,Card Number,Edition,Language
1,Legion,20,Jumpstart Front Cards,English
1,Blessed Sanctuary,1,Jumpstart,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,38,Jumpstart,English
1,Inspired Charge,110,Jumpstart,English
1,Knight of the Tusk,114,Jumpstart,English
1,Path to Exile,127,Jumpstart,English
1,Raise the Alarm,129,Jumpstart,English
1,Basri's Solidarity,10,Core Set 2021,English
1,Daybreak Charger,14,Core Set 2021,English
1,Falconer Adept,18,Core Set 2021,English
1,Legion's Judgment,24,Core Set 2021,English
1,Makeshift Battalion,26,Core Set 2021,English
1,Selfless Savior,36,Core Set 2021,English
1,Valorous Steed,42,Core Set 2021,English
6,Plains,,Core Set 2021,English
