Count,Name,Card Number,Edition,Language
1,Unicorns,41,Jumpstart Front Cards,English
1,Blessed Sanctuary,1,Jumpstart,English
1,Brightmare,2,Jumpstart,English
1,Emiel the Blessed,3,Jumpstart,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,41,Jumpstart,English
1,Cloudshift,97,Jumpstart,English
1,Inspired Charge,110,Jumpstart,English
1,Inspiring Unicorn,112,Jumpstart,English
1,Mesa Unicorn,122,Jumpstart,English
1,Ronom Unicorn,131,Jumpstart,English
1,Valorous Stance,136,Jumpstart,English
1,Daybreak Charger,14,Core Set 2021,English
1,Faith's Fetters,17,Core Set 2021,English
1,Valorous Steed,42,Core Set 2021,English
6,Plains,,Core Set 2021,English
