Count,Name,Foil,Card Number,Edition,Language
1,Battlefield Thaumaturge,,31,Journey into Nyx,English
1,Harness by Force,,100,Journey into Nyx,English
2,Divination,,36,Born of the Gods,English
1,Fated Conflagration,,94,Born of the Gods,English
1,Oracle of Bones,,103,Born of the Gods,English
2,Searing Blood,,111,Born of the Gods,English
1,Anger of the Gods,,112,Theros,English
4,Lightning Strike,,127,Theros,English
3,Magma Jet,,128,Theros,English
4,Spellheart Chimera,,204,Theros,English
1,Steam Augury,,205,Theros,English
2,Island,,234,Theros,English
3,Island,,235,Theros,English
2,Island,,236,Theros,English
2,Island,,237,Theros,English
3,Mountain,,242,Theros,English
3,Mountain,,243,Theros,English
3,Mountain,,244,Theros,English
3,Mountain,,245,Theros,English
1,Chandra's Phoenix,,134,Magic 2014 Core Set,English
2,Flames of the Firebrand,,139,Magic 2014 Core Set,English
1,Ogre Battledriver,,148,Magic 2014 Core Set,English
3,Young Pyromancer,,163,Magic 2014 Core Set,English
1,Aetherling,,11,Dragon's Maze,English
2,Turn // Burn,,134,Dragon's Maze,English
3,Guttersnipe,,98,Return to Ravnica,English
1,Mizzium Mortars,,101,Return to Ravnica,English
4,Izzet Guildgate,,242,Return to Ravnica,English
,,,,,
,SIDEBOARD,,,,
3,Essence Scatter,,55,Magic 2014 Core Set,English
3,Negate,,64,Magic 2014 Core Set,English
2,Flames of the Firebrand,,139,Magic 2014 Core Set,English
2,Elixir of Immortality,,209,Magic 2014 Core Set,English
2,Dispel,,36,Return to Ravnica,English
3,Izzet Staticaster,,173,Return to Ravnica,English
