Count,Name,Foil,Card Number,Edition,Language
2,Battle Screech,,3,Judgment,English
3,Benevolent Bodyguard,,5,Judgment,English
1,Commander Eesha,,9,Judgment,English
3,Guided Strike,,13,Judgment,English
1,Prismatic Strands,,18,Judgment,English
1,Selfless Exorcist,,21,Judgment,English
1,Shieldmage Advocate,,22,Judgment,English
2,Spurnmage Advocate,,27,Judgment,English
4,Suntail Hawk,,28,Judgment,English
2,Unquestioned Authority,,31,Judgment,English
1,Valor,,32,Judgment,English
3,Militant Monk,,9,Torment,English
2,Aven Cloudchaser,,7,Odyssey,English
2,Beloved Chaplain,,11,Odyssey,English
1,Dedicated Martyr,,16,Odyssey,English
1,Embolden,,22,Odyssey,English
2,Mystic Penitent,,34,Odyssey,English
2,Nomad Decoy,,37,Odyssey,English
3,Patrol Hound,,38,Odyssey,English
2,Shelter,,46,Odyssey,English
1,Tireless Tribe,,56,Odyssey,English
5,Plains,,331,Odyssey,English
5,Plains,,332,Odyssey,English
5,Plains,,333,Odyssey,English
5,Plains,,334,Odyssey,English
