Count,Name,Foil,Card Number,Edition,Language
2,Aerial Responder,,2,Kaladesh,English
2,Built to Last,,7,Kaladesh,English
1,Gearshift Ace,,16,Kaladesh,English
1,Skyswirl Harrier,,28,Kaladesh,English
2,Trusty Companion,,33,Kaladesh,English
1,Brazen Scourge,,107,Kaladesh,English
1,Cathartic Reunion,,109,Kaladesh,English
1,Fateful Showdown,,114,Kaladesh,English
1,Speedway Fanatic,,132,Kaladesh,English
2,Spireside Infiltrator,,133,Kaladesh,English
2,Veteran Motorist,,188,Kaladesh,English
1,Bomat Bazaar Barge,,198,Kaladesh,English
1,Fleetwheel Cruiser,,214,Kaladesh,English
1,Ovalchase Dragster,,225,Kaladesh,English
2,Renegade Freighter,,230,Kaladesh,English
2,Sky Skiff,,233,Kaladesh,English
1,Snare Thopter,,236,Kaladesh,English
1,Weldfast Monitor,,238,Kaladesh,English
4,Plains,,250,Kaladesh,English
3,Plains,,251,Kaladesh,English
3,Plains,,252,Kaladesh,English
4,Mountain,,259,Kaladesh,English
4,Mountain,,260,Kaladesh,English
3,Mountain,,261,Kaladesh,English
1,"Chandra, Pyrogenius",foil,265,Kaladesh,English
4,Flame Lash,,266,Kaladesh,English
2,Liberating Combustion,,267,Kaladesh,English
3,Renegade Firebrand,,268,Kaladesh,English
4,Stone Quarry,,269,Kaladesh,English
