Count,Name,Foil,Card Number,Edition,Language
1,Aethersquall Ancient,,39,Kaladesh,English
2,Janjeet Sentry,,53,Kaladesh,English
2,Long-Finned Skywhale,,54,Kaladesh,English
2,Malfunction,,55,Kaladesh,English
2,Thriving Turtle,,66,Kaladesh,English
2,Appetite for the Unnatural,,141,Kaladesh,English
2,Arborback Stomper,,142,Kaladesh,English
3,Attune with Aether,,145,Kaladesh,English
1,Bristling Hydra,,147,Kaladesh,English
2,Longtusk Cub,,161,Kaladesh,English
1,Riparian Tiger,,167,Kaladesh,English
1,Sage of Shaila's Claim,,168,Kaladesh,English
2,Servant of the Conduit,,169,Kaladesh,English
2,Thriving Rhino,,171,Kaladesh,English
2,Empyreal Voyager,,180,Kaladesh,English
3,Island,,253,Kaladesh,English
3,Island,,254,Kaladesh,English
2,Island,,255,Kaladesh,English
4,Forest,,262,Kaladesh,English
4,Forest,,263,Kaladesh,English
3,Forest,,264,Kaladesh,English
1,"Nissa, Nature's Artisan",foil,270,Kaladesh,English
3,Guardian of the Great Conduit,,271,Kaladesh,English
4,Terrain Elemental,,272,Kaladesh,English
2,Verdant Crescendo,,273,Kaladesh,English
4,Woodland Stream,,274,Kaladesh,English
