Count,Name,Foil,Card Number,Edition,Language
1,Ivorytusk Fortress,foil,5,Intro Pack Alternate Art,English
1,Abzan Battle Priest,,1,Khans of Tarkir,English
2,Abzan Falconer,,2,Khans of Tarkir,English
3,Ainok Bond-Kin,,3,Khans of Tarkir,English
1,High Sentinels of Arashin,,13,Khans of Tarkir,English
2,Kill Shot,,15,Khans of Tarkir,English
2,Salt Road Patrol,,21,Khans of Tarkir,English
1,Suspension Field,,25,Khans of Tarkir,English
2,Disowned Ancestor,,70,Khans of Tarkir,English
1,Mer-Ek Nightblade,,79,Khans of Tarkir,English
1,Dragonscale Boon,,131,Khans of Tarkir,English
1,Incremental Growth,,138,Khans of Tarkir,English
2,Longshot Squad,,140,Khans of Tarkir,English
2,Tuskguard Captain,,156,Khans of Tarkir,English
1,Abzan Charm,,161,Khans of Tarkir,English
1,Armament Corps,,165,Khans of Tarkir,English
2,Abzan Banner,,215,Khans of Tarkir,English
1,Blossoming Sands,,231,Khans of Tarkir,English
1,Jungle Hollow,,235,Khans of Tarkir,English
2,Sandsteppe Citadel,,241,Khans of Tarkir,English
1,Scoured Barrens,,242,Khans of Tarkir,English
2,Plains,,250,Khans of Tarkir,English
2,Plains,,251,Khans of Tarkir,English
2,Plains,,252,Khans of Tarkir,English
2,Plains,,253,Khans of Tarkir,English
2,Swamp,,258,Khans of Tarkir,English
2,Swamp,,259,Khans of Tarkir,English
2,Swamp,,260,Khans of Tarkir,English
1,Swamp,,261,Khans of Tarkir,English
2,Forest,,266,Khans of Tarkir,English
2,Forest,,267,Khans of Tarkir,English
2,Forest,,268,Khans of Tarkir,English
1,Razorfoot Griffin,,27,Magic 2015 Core Set,English
1,Sungrace Pegasus,,38,Magic 2015 Core Set,English
2,Child of Night,,90,Magic 2015 Core Set,English
1,Eternal Thirst,,95,Magic 2015 Core Set,English
1,Flesh to Dust,,98,Magic 2015 Core Set,English
1,Carnivorous Moss-Beast,,170,Magic 2015 Core Set,English
1,Hunt the Weak,,179,Magic 2015 Core Set,English
