Count,Name,Foil,Card Number,Edition,Language
2,Bloodrage Vampire,,83,Magic 2012,English
3,Duskhunter Bat,,97,Magic 2012,English
1,Hideous Visage,,100,Magic 2012,English
1,Onyx Mage,,103,Magic 2012,English
1,Taste of Blood,,113,Magic 2012,English
1,Tormented Soul,,114,Magic 2012,English
2,Vampire Outcasts,,115,Magic 2012,English
3,Blood Ogre,,122,Magic 2012,English
1,Flameblast Dragon,foil,133,Magic 2012,English
1,Goblin Arsonist,,136,Magic 2012,English
1,Goblin Bangchuckers,,137,Magic 2012,English
2,Goblin Fireslinger,,139,Magic 2012,English
1,Goblin Tunneler,,142,Magic 2012,English
2,Gorehorn Minotaurs,,144,Magic 2012,English
1,Incinerate,,146,Magic 2012,English
1,Manic Vandal,,151,Magic 2012,English
3,Shock,,154,Magic 2012,English
2,Stormblood Berserker,,156,Magic 2012,English
2,Tectonic Rift,,157,Magic 2012,English
1,Volcanic Dragon,,158,Magic 2012,English
1,Warstorm Surge,,160,Magic 2012,English
2,Crumbling Colossus,,204,Magic 2012,English
1,Swiftfoot Boots,,219,Magic 2012,English
3,Swamp,,238,Magic 2012,English
3,Swamp,,239,Magic 2013,English
2,Swamp,,240,Magic 2014,English
2,Swamp,,241,Magic 2015,English
4,Mountain,,242,Magic 2016,English
4,Mountain,,243,Magic 2017,English
3,Mountain,,244,Magic 2018,English
3,Mountain,,245,Magic 2019,English
