Count,Name,Foil,Card Number,Edition,Language
3,Vampire Outcasts,,115,Magic 2012,English
6,Swamp,,238,Magic 2012,English
6,Swamp,,239,Magic 2013,English
6,Swamp,,240,Magic 2014,English
5,Swamp,,241,Magic 2015,English
4,Dismember,,57,New Phyrexia,English
1,Mimic Vat,,175,Scars of Mirrodin,English
4,Bloodthrone Vampire,,85,Magic 2011,English
4,Viscera Seer,,120,Magic 2011,English
4,Pawn of Ulamog,,122,Rise of the Eldrazi,English
1,Kalastria Highborn,,59,Worldwake,English
2,Bloodghast,,83,Zendikar,English
4,Gatekeeper of Malakir,,89,Zendikar,English
1,Vampire Hexmage,,114,Zendikar,English
4,Vampire Lacerator,,115,Zendikar,English
2,Vampire Nighthawk,,116,Zendikar,English
2,Blade of the Bloodchief,,196,Zendikar,English
1,Verdant Catacombs,,229,Zendikar,English
,,,,,
,SIDEBOARD,,,,
4,Distress,,94,Magic 2012,English
2,Go for the Throat,,43,Mirrodin Besieged,English
4,Skinrender,,78,Scars of Mirrodin,English
3,Vampire Hexmage,,114,Zendikar,English
2,Vampire Nighthawk,,116,Zendikar,English
