Count,Name,Foil,Card Number,Edition,Language
3,Ajani's Sunstriker,,2,Magic 2013,English
3,Attended Knight,,5,Magic 2013,English
1,Battleflight Eagle,,7,Magic 2013,English
1,Captain of the Watch,,8,Magic 2013,English
2,Captain's Call,,9,Magic 2013,English
2,Crusader of Odric,,10,Magic 2013,English
2,Divine Verdict,,12,Magic 2013,English
1,Glorious Charge,,15,Magic 2013,English
2,Griffin Protector,,16,Magic 2013,English
2,Healer of the Pride,,19,Magic 2013,English
1,Oblivion Ring,,22,Magic 2013,English
1,"Odric, Master Tactician",foil,23,Magic 2013,English
1,Safe Passage,,30,Magic 2013,English
1,Serra Angel,,31,Magic 2013,English
3,Silvercoat Lion,,35,Magic 2013,English
2,Arctic Aven,,42,Magic 2013,English
1,Courtly Provocateur,,46,Magic 2013,English
1,Downpour,,48,Magic 2013,English
1,Faerie Invaders,,51,Magic 2013,English
1,Tricks of the Trade,,74,Magic 2013,English
2,Chronomaton,,201,Magic 2013,English
1,Ring of Thune,,213,Magic 2013,English
1,Evolving Wilds,,224,Magic 2013,English
4,Plains,,230,Magic 2013,English
4,Plains,,231,Magic 2014,English
4,Plains,,232,Magic 2015,English
4,Plains,,233,Magic 2016,English
2,Island,,234,Magic 2017,English
2,Island,,235,Magic 2018,English
2,Island,,236,Magic 2019,English
2,Island,,237,Magic 2020,English
