Count,Name,Foil,Card Number,Edition,Language
1,Firewing Phoenix,,131,Magic 2013,English
4,Evolving Wilds,,224,Magic 2013,English
2,Island,,234,Magic 2013,English
2,Island,,235,Magic 2014,English
2,Island,,236,Magic 2015,English
1,Island,,237,Magic 2016,English
1,Swamp,,238,Magic 2013,English
3,Mountain,,242,Magic 2013,English
2,Mountain,,243,Magic 2014,English
2,Mountain,,244,Magic 2015,English
2,Mountain,,245,Magic 2016,English
4,Fettergeist,,52,Avacyn Restored,English
3,Pillar of Flame,,149,Avacyn Restored,English
1,Desolate Lighthouse,,227,Avacyn Restored,English
4,Faithless Looting,,87,Dark Ascension,English
2,Armored Skaab,,43,Innistrad,English
3,Forbidden Alchemy,,55,Innistrad,English
1,Silent Departure,,75,Innistrad,English
4,Think Twice,,83,Innistrad,English
4,Burning Vengeance,,133,Innistrad,English
4,Desperate Ravings,,139,Innistrad,English
2,Geistflame,,144,Innistrad,English
1,Rolling Temblor,,161,Innistrad,English
1,Sulfur Falls,,248,Innistrad,English
1,Red Sun's Zenith,,74,Mirrodin Besieged,English
2,Slagstorm,,75,Mirrodin Besieged,English
1,Darkslick Shores,,226,Scars of Mirrodin,English
,,,,,
,SIDEBOARD,,,,
4,Screeching Skaab,,47,Dark Ascension,English
3,Secrets of the Dead,,48,Dark Ascension,English
4,Bloodcrazed Neonate,,131,Innistrad,English
2,Dismember,,57,New Phyrexia,English
2,Arc Trail,,81,Scars of Mirrodin,English
