Count,Name,Foil,Card Number,Edition,Language
2,Flames of the Firebrand,,139,Magic 2014 Core Set,English
1,Ogre Battledriver,,148,Magic 2014 Core Set,English
3,Shock,,155,Magic 2014 Core Set,English
4,Elvish Mystic,,169,Magic 2014 Core Set,English
2,Kalonian Tusker,,182,Magic 2014 Core Set,English
2,Mountain,,243,Magic 2014 Core Set,English
2,Mountain,,244,Magic 2014 Core Set,English
2,Mountain,,245,Magic 2014 Core Set,English
3,Forest,,246,Magic 2014 Core Set,English
3,Forest,,247,Magic 2014 Core Set,English
3,Forest,,248,Magic 2014 Core Set,English
3,Forest,,249,Magic 2014 Core Set,English
1,Pyrewild Shaman,,36,Dragon's Maze,English
1,Armed // Dangerous,,122,Dragon's Maze,English
1,Wrecking Ogre,,112,Gatecrash,English
3,Slaughterhorn,,134,Gatecrash,English
1,Clan Defiance,,151,Gatecrash,English
4,Ghor-Clan Rampager,,167,Gatecrash,English
1,Gruul Charm,,169,Gatecrash,English
2,Skarrg Guildmage,,196,Gatecrash,English
2,Burning-Tree Emissary,,216,Gatecrash,English
1,Rubblebelt Raiders,,224,Gatecrash,English
4,Gruul Guildgate,,243,Gatecrash,English
1,Stomping Ground,,247,Gatecrash,English
1,Mizzium Mortars,,101,Return to Ravnica,English
1,Deadbridge Goliath,,120,Return to Ravnica,English
1,Wild Beastmaster,,139,Return to Ravnica,English
2,Dryad Militant,,214,Return to Ravnica,English
2,Rakdos Cackler,,220,Return to Ravnica,English
1,Rogue's Passage,,245,Return to Ravnica,English
,,,,,
,SIDEBOARD,,,,
2,Act of Treason,,125,Magic 2014 Core Set,English
2,Enlarge,,170,Magic 2014 Core Set,English
2,Naturalize,,186,Magic 2014 Core Set,English
1,Savage Summoning,,194,Magic 2014 Core Set,English
3,Skullcrack,,106,Gatecrash,English
2,Gruul Charm,,169,Gatecrash,English
3,Annihilating Fire,,85,Return to Ravnica,English
