Count,Name,Foil,Card Number,Edition,Condition,Language
1,Curse of the Swine,,46,Theros,Near Mint,English
2,Griptide,,50,Theros,Near Mint,English
1,Horizon Scholar,,51,Theros,Near Mint,English
2,Nimbus Naiad,,56,Theros,Near Mint,English
2,Omenspeaker,,57,Theros,Near Mint,English
2,Thassa's Emissary,,68,Theros,Near Mint,English
3,Vaporkin,,72,Theros,Near Mint,English
1,Voyage's End,,73,Theros,Near Mint,English
1,Boulderfall,,115,Theros,Near Mint,English
2,Ill-Tempered Cyclops,,125,Theros,Near Mint,English
1,Arbor Colossus,,150,Theros,Near Mint,English
3,Karametra's Acolyte,,160,Theros,Near Mint,English
2,Leafcrown Dryad,,161,Theros,Near Mint,English
2,Nemesis of Mortals,,163,Theros,Near Mint,English
1,Nessian Courser,,165,Theros,Near Mint,English
3,Nylea's Disciple,,167,Theros,Near Mint,English
2,Voyaging Satyr,,182,Theros,Near Mint,English
2,Horizon Chimera,,194,Theros,Near Mint,English
1,"Nykthos, Shrine to Nyx",,223,Theros,Near Mint,English
1,Courser of Kruphix,,119,Born of the Gods,Near Mint,English
3,Kiora's Follower,,150,Born of the Gods,Near Mint,English
1,Hypnotic Siren,,42,Journey into Nyx,Near Mint,English
2,Pin to the Earth,,45,Journey into Nyx,Near Mint,English
3,Nessian Game Warden,,132,Journey into Nyx,Near Mint,English
1,Aetherspouts,,44,Magic 2015 Core Set,Near Mint,English
2,Divination,,52,Magic 2015 Core Set,Near Mint,English
2,Frost Lynx,,55,Magic 2015 Core Set,Near Mint,English
2,Jace's Ingenuity,,63,Magic 2015 Core Set,Near Mint,English
2,Negate,,71,Magic 2015 Core Set,Near Mint,English
2,Generator Servant,,143,Magic 2015 Core Set,Near Mint,English
2,Lightning Strike,,155,Magic 2015 Core Set,Near Mint,English
4,Elvish Mystic,,173,Magic 2015 Core Set,Near Mint,English
1,Genesis Hydra,,176,Magic 2015 Core Set,Near Mint,English
2,Plummet,,192,Magic 2015 Core Set,Near Mint,English
2,Reclamation Sage,,194,Magic 2015 Core Set,Near Mint,English
5,Island,,254,Magic 2015 Core Set,Near Mint,English
4,Island,,255,Magic 2015 Core Set,Near Mint,English
4,Island,,256,Magic 2015 Core Set,Near Mint,English
4,Island,,257,Magic 2015 Core Set,Near Mint,English
3,Mountain,,262,Magic 2015 Core Set,Near Mint,English
2,Mountain,,263,Magic 2015 Core Set,Near Mint,English
2,Mountain,,264,Magic 2015 Core Set,Near Mint,English
2,Mountain,,265,Magic 2015 Core Set,Near Mint,English
6,Forest,,266,Magic 2015 Core Set,Near Mint,English
6,Forest,,267,Magic 2015 Core Set,Near Mint,English
6,Forest,,268,Magic 2015 Core Set,Near Mint,English
4,Forest,,269,Magic 2015 Core Set,Near Mint,English
1,Prognostic Sphinx,foil,1,Magic 2015 Clash Pack Promos,Near Mint,English
1,Fated Intervention,foil,2,Magic 2015 Clash Pack Promos,Near Mint,English
1,Font of Fertility,foil,3,Magic 2015 Clash Pack Promos,Near Mint,English
1,Hydra Broodmaster,foil,4,Magic 2015 Clash Pack Promos,Near Mint,English
1,Prophet of Kruphix,foil,5,Magic 2015 Clash Pack Promos,Near Mint,English
1,Temple of Mystery,foil,6,Magic 2015 Clash Pack Promos,Near Mint,English
