Count,Name,Foil,Card Number,Edition,Language
1,Divination,,51,Core Set 2019,English
3,Dwindle,,53,Core Set 2019,English
1,Exclusion Mage,,55,Core Set 2019,English
2,Gearsmith Prodigy,,57,Core Set 2019,English
1,One with the Machine,,66,Core Set 2019,English
1,Scholar of Stars,,71,Core Set 2019,English
2,Skilled Animator,,73,Core Set 2019,English
2,Snapping Drake,,75,Core Set 2019,English
1,Uncomfortable Chill,,82,Core Set 2019,English
2,Field Creeper,,234,Core Set 2019,English
2,Gearsmith Guardian,,237,Core Set 2019,English
1,Manalith,,239,Core Set 2019,English
2,Meteor Golem,,241,Core Set 2019,English
2,Skyscanner,,245,Core Set 2019,English
7,Island,,265,Core Set 2019,English
7,Island,,266,Core Set 2019,English
6,Island,,267,Core Set 2019,English
6,Island,,268,Core Set 2019,English
1,"Tezzeret, Cruel Machinist",foil,286,Core Set 2019,English
1,Riddlemaster Sphinx,,287,Core Set 2019,English
4,Pendulum of Patterns,,288,Core Set 2019,English
2,Tezzeret's Gatebreaker,,289,Core Set 2019,English
3,Tezzeret's Strider,,290,Core Set 2019,English
