Count,Name,Foil,Card Number,Edition,Language
2,Bristling Boar,,170,Core Set 2019,English
2,Colossal Dreadmaw,,172,Core Set 2019,English
1,Colossal Majesty,,173,Core Set 2019,English
1,Declare Dominance,,175,Core Set 2019,English
2,Druid of the Cowl,,177,Core Set 2019,English
2,Elvish Rejuvenator,,180,Core Set 2019,English
1,Ghastbark Twins,,181,Core Set 2019,English
1,Oakenform,,191,Core Set 2019,English
1,Pelakka Wurm,,192,Core Set 2019,English
2,Plummet,,193,Core Set 2019,English
2,Rabid Bite,,195,Core Set 2019,English
1,Reclamation Sage,,196,Core Set 2019,English
1,Thornhide Wolves,,204,Core Set 2019,English
2,Titanic Growth,,205,Core Set 2019,English
2,Meteor Golem,,241,Core Set 2019,English
7,Forest,,277,Core Set 2019,English
7,Forest,,278,Core Set 2019,English
6,Forest,,279,Core Set 2019,English
6,Forest,,280,Core Set 2019,English
1,Vivien of the Arkbow,foil,301,Core Set 2019,English
1,Aggressive Mammoth,,302,Core Set 2019,English
2,Skalla Wolf,,303,Core Set 2019,English
4,Ursine Champion,,304,Core Set 2019,English
3,Vivien's Jaguar,,305,Core Set 2019,English
