Count,Name,Foil,Card Number,Edition,Language
3,Angel of Vitality,,4,Core Set 2020,English
3,Dawning Angel,,11,Core Set 2020,English
4,Daybreak Chaplain,,12,Core Set 2020,English
3,Fencing Ace,,16,Core Set 2020,English
1,Loxodon Lifechanter,,27,Core Set 2020,English
4,Moment of Heroism,,30,Core Set 2020,English
3,Pacifism,,32,Core Set 2020,English
7,Plains,,261,Core Set 2020,English
6,Plains,,262,Core Set 2020,English
6,Plains,,263,Core Set 2020,English
6,Plains,,264,Core Set 2020,English
1,"Ajani, Inspiring Leader",foil,282,Core Set 2020,English
2,Goldmane Griffin,,283,Core Set 2020,English
4,Savannah Sage,,284,Core Set 2020,English
3,Twinblade Paladin,,285,Core Set 2020,English
3,Impassioned Orator,,306,Core Set 2020,English
1,Serra's Guardian,,310,Core Set 2020,English
