Count,Name,Foil,Card Number,Edition,Language
2,Dawning Angel,,11,Core Set 2020,English
1,Inspired Charge,,24,Core Set 2020,English
1,Loxodon Lifechanter,,27,Core Set 2020,English
1,"Sephara, Sky's Blade",foil,36,Core Set 2020,English
8,Plains,,261,Core Set 2020,English
6,Plains,,262,Core Set 2020,English
6,Plains,,263,Core Set 2020,English
6,Plains,,264,Core Set 2020,English
1,Angelic Guardian,,302,Core Set 2020,English
3,Bastion Enforcer,,303,Core Set 2020,English
2,Concordia Pegasus,,304,Core Set 2020,English
3,Haazda Officer,,305,Core Set 2020,English
1,Imperial Outrider,,307,Core Set 2020,English
2,Prowling Caracal,,309,Core Set 2020,English
1,Serra's Guardian,,310,Core Set 2020,English
3,Show of Valor,,311,Core Set 2020,English
3,Take Vengeance,,313,Core Set 2020,English
2,Trusted Pegasus,,314,Core Set 2020,English
2,Bond of Discipline,,6,War of the Spark,English
1,Citywide Bust,,4,Guilds of Ravnica,English
2,Inspiring Unicorn,,16,Guilds of Ravnica,English
1,Intrusive Packbeast,,17,Guilds of Ravnica,English
2,Righteous Blow,,23,Guilds of Ravnica,English
,,,,,
1,Act of Treason,,124,Core Set 2020,English
2,Daggersail Aeronaut,,133,Core Set 2020,English
1,"Drakuseth, Maw of Flames",foil,136,Core Set 2020,English
1,Fire Elemental,,138,Core Set 2020,English
1,Glint-Horn Buccaneer,,141,Core Set 2020,English
2,Goblin Smuggler,,144,Core Set 2020,English
2,Infuriate,,145,Core Set 2020,English
1,Leyline of Combustion,,148,Core Set 2020,English
2,Shock,,160,Core Set 2020,English
1,Tectonic Rift,,161,Core Set 2020,English
7,Mountain,,273,Core Set 2020,English
7,Mountain,,274,Core Set 2020,English
6,Mountain,,275,Core Set 2020,English
6,Mountain,,276,Core Set 2020,English
3,Engulfing Eruption,,328,Core Set 2020,English
3,Fearless Halberdier,,329,Core Set 2020,English
4,Goblin Assailant,,330,Core Set 2020,English
2,Hostile Minotaur,,331,Core Set 2020,English
1,Immortal Phoenix,,332,Core Set 2020,English
2,Nimble Birdsticker,,333,Core Set 2020,English
1,Shivan Dragon,,335,Core Set 2020,English
2,Hellkite Whelp,,106,Guilds of Ravnica,English
2,Sure Strike,,118,Guilds of Ravnica,English
