Count,Name,Foil,Card Number,Edition,Language
1,Aerial Assault,,1,Core Set 2020,English
1,Angel of Vitality,,4,Core Set 2020,English
1,Disenchant,,14,Core Set 2020,English
1,Herald of the Sun,,23,Core Set 2020,English
2,Pacifism,,32,Core Set 2020,English
2,Raise the Alarm,,34,Core Set 2020,English
1,Air Elemental,,44,Core Set 2020,English
1,Brineborn Cutthroat,,50,Core Set 2020,English
2,Cloudkin Seer,,54,Core Set 2020,English
1,Frost Lynx,,62,Core Set 2020,English
1,Negate,,69,Core Set 2020,English
1,Spectral Sailor,,76,Core Set 2020,English
2,Unsummon,,78,Core Set 2020,English
1,Warden of Evos Isle,,79,Core Set 2020,English
2,Winged Words,,80,Core Set 2020,English
1,Audacious Thief,,84,Core Set 2020,English
1,Disfigure,,95,Core Set 2020,English
1,Duress,,97,Core Set 2020,English
1,Gravedigger,,103,Core Set 2020,English
2,Murder,,109,Core Set 2020,English
1,"Chandra, Novice Pyromancer",,128,Core Set 2020,English
2,Chandra's Embercat,,129,Core Set 2020,English
1,Ember Hauler,,137,Core Set 2020,English
1,Infuriate,,145,Core Set 2020,English
1,Mask of Immolation,,151,Core Set 2020,English
1,Scampering Scorcher,,158,Core Set 2020,English
2,Shock,,160,Core Set 2020,English
2,Gift of Paradise,,173,Core Set 2020,English
2,Leafkin Druid,,178,Core Set 2020,English
1,Overcome,,186,Core Set 2020,English
1,Overgrowth Elemental,,187,Core Set 2020,English
2,Silverback Shaman,,195,Core Set 2020,English
1,Thicket Crasher,,196,Core Set 2020,English
1,Vorstclaw,,201,Core Set 2020,English
1,Woodland Champion,,205,Core Set 2020,English
1,Corpse Knight,,206,Core Set 2020,English
1,Creeping Trailblazer,,207,Core Set 2020,English
1,Empyrean Eagle,,208,Core Set 2020,English
1,Ironroot Warlord,,209,Core Set 2020,English
1,Lightning Stormkin,,213,Core Set 2020,English
1,Moldervine Reclamation,,214,Core Set 2020,English
1,Ogre Siegebreaker,,215,Core Set 2020,English
1,Risen Reef,,217,Core Set 2020,English
1,Skyknight Vanguard,,218,Core Set 2020,English
1,Tomebound Lich,,219,Core Set 2020,English
1,Diamond Knight,,224,Core Set 2020,English
1,Pattern Matcher,,234,Core Set 2020,English
1,Scuttlemutt,,238,Core Set 2020,English
2,Bloodfell Caves,,242,Core Set 2020,English
2,Blossoming Sands,,243,Core Set 2020,English
2,Dismal Backwater,,245,Core Set 2020,English
1,Evolving Wilds,,246,Core Set 2020,English
2,Jungle Hollow,,248,Core Set 2020,English
2,Rugged Highlands,,250,Core Set 2020,English
2,Scoured Barrens,,251,Core Set 2020,English
2,Swiftwater Cliffs,,252,Core Set 2020,English
2,Thornwood Falls,,258,Core Set 2020,English
2,Tranquil Cove,,259,Core Set 2020,English
2,Wind-Scarred Crag,,260,Core Set 2020,English
5,Plains,,261,Core Set 2020,English
5,Plains,,262,Core Set 2020,English
5,Plains,,263,Core Set 2020,English
5,Plains,,264,Core Set 2020,English
5,Island,,265,Core Set 2020,English
5,Island,,266,Core Set 2020,English
5,Island,,267,Core Set 2020,English
5,Island,,268,Core Set 2020,English
5,Swamp,,269,Core Set 2020,English
5,Swamp,,270,Core Set 2020,English
5,Swamp,,271,Core Set 2020,English
5,Swamp,,272,Core Set 2020,English
5,Mountain,,273,Core Set 2020,English
5,Mountain,,274,Core Set 2020,English
5,Mountain,,275,Core Set 2020,English
5,Mountain,,276,Core Set 2020,English
5,Forest,,277,Core Set 2020,English
5,Forest,,278,Core Set 2020,English
5,Forest,,279,Core Set 2020,English
5,Forest,,280,Core Set 2020,English
1,Serra's Guardian,,310,Core Set 2020,English
1,Riddlemaster Sphinx,,317,Core Set 2020,English
1,Gravewaker,,323,Core Set 2020,English
1,Shivan Dragon,,335,Core Set 2020,English
1,Aggressive Mammoth,,337,Core Set 2020,English
1,Ajani's Pridemate,,4,War of the Spark,English
1,Defiant Strike,,9,War of the Spark,English
1,Law-Rune Enforcer,,20,War of the Spark,English
1,Prison Realm,,26,War of the Spark,English
1,Callous Dismissal,,44,War of the Spark,English
1,Bleeding Edge,,78,War of the Spark,English
3,Lazotep Reaver,,96,War of the Spark,English
1,Ob Nixilis's Cruelty,,101,War of the Spark,English
2,Sorin's Thirst,,104,War of the Spark,English
1,Spark Harvest,,105,War of the Spark,English
2,Grim Initiate,,130,War of the Spark,English
3,Jaya's Greeting,,136,War of the Spark,English
1,Bloom Hulk,,154,War of the Spark,English
1,Bond of Flourishing,,155,War of the Spark,English
1,Paradise Druid,,171,War of the Spark,English
1,Pollenbright Druid,,173,War of the Spark,English
1,Return to Nature,,175,War of the Spark,English
1,Gateway Plaza,,246,War of the Spark,English
2,Impassioned Orator,,12,Ravnica Allegiance,English
1,Quench,,48,Ravnica Allegiance,English
1,Cry of the Carnarium,,70,Ravnica Allegiance,English
1,Clamor Shaman,,96,Ravnica Allegiance,English
1,Open the Gates,,133,Ravnica Allegiance,English
1,Haazda Marshal,,13,Guilds of Ravnica,English
1,Healer's Hawk,,14,Guilds of Ravnica,English
1,Hunted Witness,,15,Guilds of Ravnica,English
1,Chemister's Insight,,32,Guilds of Ravnica,English
1,Disdainful Stroke,,37,Guilds of Ravnica,English
1,Radical Idea,,52,Guilds of Ravnica,English
1,Dead Weight,,67,Guilds of Ravnica,English
1,Plaguecrafter,,82,Guilds of Ravnica,English
1,Goblin Cratermaker,,103,Guilds of Ravnica,English
1,Torch Courier,,119,Guilds of Ravnica,English
