Count,Name,Foil,Card Number,Edition,Language
2,Dawning Angel,,11,Core Set 2020,English
1,Glaring Aegis,,18,Core Set 2020,English
1,Inspired Charge,,24,Core Set 2020,English
1,Inspiring Captain,,25,Core Set 2020,English
1,Loyal Pegasus,,28,Core Set 2020,English
1,Pacifism,,32,Core Set 2020,English
4,Plains,,261,Core Set 2020,English
3,Plains,,262,Core Set 2020,English
3,Plains,,263,Core Set 2020,English
3,Plains,,264,Core Set 2020,English
1,Concordia Pegasus,,304,Core Set 2020,English
2,Haazda Officer,,305,Core Set 2020,English
1,Ironclad Krovod,,308,Core Set 2020,English
2,Prowling Caracal,,309,Core Set 2020,English
1,Serra's Guardian,,310,Core Set 2020,English
1,Show of Valor,,311,Core Set 2020,English
1,Siege Mastodon,,312,Core Set 2020,English
1,Trusted Pegasus,,314,Core Set 2020,English
,,,,,
1,Air Elemental,,44,Core Set 2020,English
1,Befuddle,,47,Core Set 2020,English
1,Captivating Gyre,,51,Core Set 2020,English
1,Cloudkin Seer,,54,Core Set 2020,English
1,Fortress Crab,,60,Core Set 2020,English
1,Frost Lynx,,62,Core Set 2020,English
1,Moat Piranhas,,67,Core Set 2020,English
1,Octoprophet,,70,Core Set 2020,English
1,Sleep Paralysis,,75,Core Set 2020,English
1,Unsummon,,78,Core Set 2020,English
1,Winged Words,,80,Core Set 2020,English
4,Island,,265,Core Set 2020,English
3,Island,,266,Core Set 2020,English
3,Island,,267,Core Set 2020,English
3,Island,,268,Core Set 2020,English
2,Coral Merfolk,,315,Core Set 2020,English
1,Phantom Warrior,,316,Core Set 2020,English
1,Riddlemaster Sphinx,,317,Core Set 2020,English
2,Snapping Drake,,318,Core Set 2020,English
,,,,,
1,Agonizing Syphon,,83,Core Set 2020,English
2,Barony Vampire,,85,Core Set 2020,English
1,Disfigure,,95,Core Set 2020,English
1,Feral Abomination,,101,Core Set 2020,English
1,Gravedigger,,103,Core Set 2020,English
1,Murder,,109,Core Set 2020,English
4,Swamp,,269,Core Set 2020,English
3,Swamp,,270,Core Set 2020,English
3,Swamp,,271,Core Set 2020,English
3,Swamp,,272,Core Set 2020,English
2,Bartizan Bats,,319,Core Set 2020,English
1,Bogstomper,,320,Core Set 2020,English
1,Dark Remedy,,321,Core Set 2020,English
1,Disentomb,,322,Core Set 2020,English
1,Gravewaker,,323,Core Set 2020,English
1,Skeleton Archer,,324,Core Set 2020,English
3,Walking Corpse,,327,Core Set 2020,English
,,,,,
1,Act of Treason,,124,Core Set 2020,English
1,Chandra's Outrage,,130,Core Set 2020,English
2,Daggersail Aeronaut,,133,Core Set 2020,English
1,Fire Elemental,,138,Core Set 2020,English
1,Goblin Smuggler,,144,Core Set 2020,English
1,Infuriate,,145,Core Set 2020,English
1,Maniacal Rage,,149,Core Set 2020,English
1,Shock,,160,Core Set 2020,English
4,Mountain,,273,Core Set 2020,English
3,Mountain,,274,Core Set 2020,English
3,Mountain,,275,Core Set 2020,English
3,Mountain,,276,Core Set 2020,English
1,Engulfing Eruption,,328,Core Set 2020,English
2,Fearless Halberdier,,329,Core Set 2020,English
2,Goblin Assailant,,330,Core Set 2020,English
1,Rubblebelt Recluse,,334,Core Set 2020,English
1,Shivan Dragon,,335,Core Set 2020,English
1,Volcanic Dragon,,336,Core Set 2020,English
,,,,,
2,Centaur Courser,,168,Core Set 2020,English
1,Healer of the Glade,,176,Core Set 2020,English
1,Mammoth Spider,,181,Core Set 2020,English
1,Overcome,,186,Core Set 2020,English
1,Plummet,,188,Core Set 2020,English
1,Rabid Bite,,190,Core Set 2020,English
1,Vorstclaw,,201,Core Set 2020,English
4,Forest,,277,Core Set 2020,English
3,Forest,,278,Core Set 2020,English
3,Forest,,279,Core Set 2020,English
3,Forest,,280,Core Set 2020,English
1,Aggressive Mammoth,,337,Core Set 2020,English
1,Bristling Boar,,338,Core Set 2020,English
2,Canopy Spider,,339,Core Set 2020,English
1,Frilled Sandwalla,,340,Core Set 2020,English
1,Oakenform,,341,Core Set 2020,English
1,Prized Unicorn,,342,Core Set 2020,English
1,Titanic Growth,,343,Core Set 2020,English
1,Woodland Mystic,,344,Core Set 2020,English
