Count,Name,Foil,Card Number,Edition,Language
1,Agonizing Syphon,,83,Core Set 2020,English
2,Barony Vampire,,85,Core Set 2020,English
1,Disfigure,,95,Core Set 2020,English
1,Feral Abomination,,101,Core Set 2020,English
1,Gravedigger,,103,Core Set 2020,English
1,Murder,,109,Core Set 2020,English
4,Swamp,,269,Core Set 2020,English
3,Swamp,,270,Core Set 2020,English
3,Swamp,,271,Core Set 2020,English
3,Swamp,,272,Core Set 2020,English
2,Bartizan Bats,,319,Core Set 2020,English
1,Bogstomper,,320,Core Set 2020,English
1,Dark Remedy,,321,Core Set 2020,English
1,Disentomb,,322,Core Set 2020,English
1,Gravewaker,,323,Core Set 2020,English
1,Skeleton Archer,,324,Core Set 2020,English
3,Walking Corpse,,327,Core Set 2020,English
