Count,Name,Foil,Card Number,Edition,Language
1,Air Elemental,,44,Core Set 2020,English
1,Befuddle,,47,Core Set 2020,English
1,Captivating Gyre,,51,Core Set 2020,English
1,Cloudkin Seer,,54,Core Set 2020,English
1,Fortress Crab,,60,Core Set 2020,English
1,Frost Lynx,,62,Core Set 2020,English
1,Moat Piranhas,,67,Core Set 2020,English
1,Octoprophet,,70,Core Set 2020,English
1,Sleep Paralysis,,75,Core Set 2020,English
1,Unsummon,,78,Core Set 2020,English
1,Winged Words,,80,Core Set 2020,English
4,Island,,265,Core Set 2020,English
3,Island,,266,Core Set 2020,English
3,Island,,267,Core Set 2020,English
3,Island,,268,Core Set 2020,English
2,Coral Merfolk,,315,Core Set 2020,English
1,Phantom Warrior,,316,Core Set 2020,English
1,Riddlemaster Sphinx,,317,Core Set 2020,English
2,Snapping Drake,,318,Core Set 2020,English
