Count,Name,Foil,Card Number,Edition,Language
2,Centaur Courser,,168,Core Set 2020,English
1,Healer of the Glade,,176,Core Set 2020,English
1,Mammoth Spider,,181,Core Set 2020,English
1,Overcome,,186,Core Set 2020,English
1,Plummet,,188,Core Set 2020,English
1,Rabid Bite,,190,Core Set 2020,English
1,Vorstclaw,,201,Core Set 2020,English
4,Forest,,277,Core Set 2020,English
3,Forest,,278,Core Set 2020,English
3,Forest,,279,Core Set 2020,English
3,Forest,,280,Core Set 2020,English
1,Aggressive Mammoth,,337,Core Set 2020,English
1,Bristling Boar,,338,Core Set 2020,English
2,Canopy Spider,,339,Core Set 2020,English
1,Frilled Sandwalla,,340,Core Set 2020,English
1,Oakenform,,341,Core Set 2020,English
1,Prized Unicorn,,342,Core Set 2020,English
1,Titanic Growth,,343,Core Set 2020,English
1,Woodland Mystic,,344,Core Set 2020,English
