Count,Name,Foil,Card Number,Edition,Language
2,Dawning Angel,,11,Core Set 2020,English
1,Glaring Aegis,,18,Core Set 2020,English
1,Inspired Charge,,24,Core Set 2020,English
1,Inspiring Captain,,25,Core Set 2020,English
1,Loyal Pegasus,,28,Core Set 2020,English
1,Pacifism,,32,Core Set 2020,English
4,Plains,,261,Core Set 2020,English
3,Plains,,262,Core Set 2020,English
3,Plains,,263,Core Set 2020,English
3,Plains,,264,Core Set 2020,English
1,Concordia Pegasus,,304,Core Set 2020,English
2,Haazda Officer,,305,Core Set 2020,English
1,Ironclad Krovod,,308,Core Set 2020,English
2,Prowling Caracal,,309,Core Set 2020,English
1,Serra's Guardian,,310,Core Set 2020,English
1,Show of Valor,,311,Core Set 2020,English
1,Siege Mastodon,,312,Core Set 2020,English
1,Trusted Pegasus,,314,Core Set 2020,English
