Count,Name,Foil,Card Number,Edition,Language
2,Air Elemental,,44,Core Set 2020,English
3,Brineborn Cutthroat,,50,Core Set 2020,English
3,Cloudkin Seer,,54,Core Set 2020,English
1,Dungeon Geists,,57,Core Set 2020,English
2,Frost Lynx,,62,Core Set 2020,English
3,Spectral Sailor,,76,Core Set 2020,English
4,Unsummon,,78,Core Set 2020,English
3,Warden of Evos Isle,,79,Core Set 2020,English
3,Winged Words,,80,Core Set 2020,English
7,Island,,265,Core Set 2020,English
6,Island,,266,Core Set 2020,English
6,Island,,267,Core Set 2020,English
6,Island,,268,Core Set 2020,English
1,"Mu Yanling, Celestial Wind",foil,286,Core Set 2020,English
4,Celestial Messenger,,287,Core Set 2020,English
3,Waterkin Shaman,,288,Core Set 2020,English
2,Yanling's Harbinger,,289,Core Set 2020,English
1,Riddlemaster Sphinx,,317,Core Set 2020,English
