Count,Name,Foil,Card Number,Edition,Language
3,Anointed Chorister,,4,Core Set 2021,English
2,Aven Gagglemaster,,5,Core Set 2021,English
3,Basri's Acolyte,,8,Core Set 2021,English
1,Basri's Lieutenant,,9,Core Set 2021,English
4,Makeshift Battalion,,26,Core Set 2021,English
1,Speaker of the Heavens,,38,Core Set 2021,English
2,Swift Response,,40,Core Set 2021,English
3,Tempered Veteran,,41,Core Set 2021,English
8,Plains,,260,Core Set 2021,English
8,Plains,,261,Core Set 2021,English
8,Plains,,262,Core Set 2021,English
1,Plains,,309,Core Set 2021,English
1,"Basri, Devoted Paladin",foil,320,Core Set 2021,English
4,Adherent of Hope,,321,Core Set 2021,English
2,Basri's Aegis,,322,Core Set 2021,English
3,Sigiled Contender,,323,Core Set 2021,English
3,Fight as One,,12,Ikoria: Lair of Behemoths,English
1,Perimeter Sergeant,,27,Ikoria: Lair of Behemoths,English
2,Banishing Light,,4,Theros Beyond Death,English
