Count,Name,Foil,Card Number,Edition,Language
,,,,,
,BLACK,,,,
2,Blood Glutton,,90,Core Set 2021,English
1,Demonic Embrace,,95,Core Set 2021,English
3,Fetid Imp,,98,Core Set 2021,English
2,Finishing Blow,,99,Core Set 2021,English
2,Goremand,,101,Core Set 2021,English
3,Grasp of Darkness,,102,Core Set 2021,English
1,Peer into the Abyss,,117,Core Set 2021,English
2,Skeleton Archer,,123,Core Set 2021,English
1,"Vito, Thorn of the Dusk Rose",foil,127,Core Set 2021,English
4,Walking Corpse,,128,Core Set 2021,English
9,Swamp,,266,Core Set 2021,English
9,Swamp,,267,Core Set 2021,English
8,Swamp,,268,Core Set 2021,English
3,Gloom Pangolin,,89,Ikoria: Lair of Behemoths,English
2,Serrated Scorpion,,99,Ikoria: Lair of Behemoths,English
3,Unlikely Aid,,103,Ikoria: Lair of Behemoths,English
1,Demon of Loathing,,292,Theros Beyond Death,English
1,Underworld Sentinel,,293,Theros Beyond Death,English
3,Lost Legion,,94,Throne of Eldraine,English
,,,,,
,GREEN,,,,
2,Colossal Dreadmaw,,176,Core Set 2021,English
3,Llanowar Visionary,,193,Core Set 2021,English
2,Snarespinner,,207,Core Set 2021,English
4,Titanic Growth,,210,Core Set 2021,English
9,Forest,,272,Core Set 2021,English
9,Forest,,273,Core Set 2021,English
8,Forest,,274,Core Set 2021,English
3,Almighty Brushwagg,,143,Ikoria: Lair of Behemoths,English
3,Bristling Boar,,146,Ikoria: Lair of Behemoths,English
1,Colossification,,148,Ikoria: Lair of Behemoths,English
2,Honey Mammoth,,158,Ikoria: Lair of Behemoths,English
2,Humble Naturalist,,160,Ikoria: Lair of Behemoths,English
1,"Kogla, the Titan Ape",foil,162,Ikoria: Lair of Behemoths,English
3,Ram Through,,170,Ikoria: Lair of Behemoths,English
3,Hyrax Tower Scout,,173,Theros Beyond Death,English
2,Plummet,,194,Theros Beyond Death,English
1,Ironscale Hydra,,296,Theros Beyond Death,English
1,Treeshaker Chimera,,297,Theros Beyond Death,English
1,"Yorvo, Lord of Garenbrig",,185,Throne of Eldraine,English
