Count,Name,Foil,Card Number,Edition,Language
4,Corrupted Conscience,,22,Mirrodin Besieged,English
2,Phyrexian Vatmother,,52,Mirrodin Besieged,English
4,Plague Myr,,125,Mirrodin Besieged,English
2,Island,,148,Mirrodin Besieged,English
2,Island,,149,Mirrodin Besieged,English
2,Swamp,,150,Mirrodin Besieged,English
1,Swamp,,151,Mirrodin Besieged,English
1,Hand of the Praetors,,66,Scars of Mirrodin,English
2,Contagion Clasp,,144,Scars of Mirrodin,English
4,Corpse Cur,,147,Scars of Mirrodin,English
4,Necropede,,185,Scars of Mirrodin,English
3,Island,,234,Scars of Mirrodin,English
3,Island,,235,Scars of Mirrodin,English
2,Swamp,,238,Scars of Mirrodin,English
2,Swamp,,239,Scars of Mirrodin,English
4,Foresee,,54,Magic 2011,English
2,Mana Leak,,62,Magic 2011,English
3,Preordain,,70,Magic 2011,English
1,Doom Blade,,95,Magic 2011,English
2,Drowned Catacomb,,224,Magic 2011,English
2,Deprive,,59,Rise of the Eldrazi,English
2,Consuming Vapors,,101,Rise of the Eldrazi,English
2,Smother,,68,Worldwake,English
4,Jwar Isle Refuge,,215,Zendikar,English
,,,,,
,SIDEBOARD,,,,
2,Go for the Throat,,43,Mirrodin Besieged,English
3,Flashfreeze,,53,Magic 2011,English
4,Negate,,68,Magic 2011,English
3,Deathmark,,91,Magic 2011,English
1,Doom Blade,,95,Magic 2011,English
2,Smother,,68,Worldwake,English
