Count,Name,Foil,Card Number,Edition,Language
2,Soul Warden,,1,Modern Event Deck 2014,English
3,Tidehollow Sculler,,2,Modern Event Deck 2014,English
3,Path to Exile,,3,Modern Event Deck 2014,English
2,Inquisition of Kozilek,,4,Modern Event Deck 2014,English
2,Shrine of Loyal Legions,,5,Modern Event Deck 2014,English
3,Honor of the Pure,,6,Modern Event Deck 2014,English
4,Intangible Virtue,,7,Modern Event Deck 2014,English
4,Raise the Alarm,,8,Modern Event Deck 2014,English
3,Zealous Persecution,,9,Modern Event Deck 2014,English
1,Sword of Feast and Famine,,10,Modern Event Deck 2014,English
4,Lingering Souls,,11,Modern Event Deck 2014,English
4,Spectral Procession,,12,Modern Event Deck 2014,English
1,"Elspeth, Knight-Errant",,13,Modern Event Deck 2014,English
4,Caves of Koilos,,14,Modern Event Deck 2014,English
2,City of Brass,,15,Modern Event Deck 2014,English
4,Isolated Chapel,,16,Modern Event Deck 2014,English
1,Vault of the Archangel,,17,Modern Event Deck 2014,English
4,Windbrisk Heights,,18,Modern Event Deck 2014,English
5,Plains,,19,Modern Event Deck 2014,English
4,Swamp,,20,Modern Event Deck 2014,English
,,,,,
,SIDEBOARD,,,,
3,Relic of Progenitus,,21,Modern Event Deck 2014,English
2,Burrenton Forge-Tender,,22,Modern Event Deck 2014,English
3,Duress,,23,Modern Event Deck 2014,English
3,"Kataki, War's Wage",,24,Modern Event Deck 2014,English
2,Dismember,,25,Modern Event Deck 2014,English
2,Ghost Quarter,,26,Modern Event Deck 2014,English
,,,,,
,TOKENS,,,,
2,Soldier // Spirit,,1,Extras: Modern Event Deck 2014,English
2,Myr // Spirit,,2,Extras: Modern Event Deck 2014,English
1,"Emblem: Elspeth, Knight-Errant // Soldier",,3,Extras: Modern Event Deck 2014,English
