Count,Name,Foil,Card Number,Edition,Language
4,Glistener Elf,,111,New Phyrexia,English
4,Mutagenic Growth,,116,New Phyrexia,English
6,Forest,,174,New Phyrexia,English
6,Forest,,175,New Phyrexia,English
1,Green Sun's Zenith,,81,Mirrodin Besieged,English
3,Rot Wolf,,90,Mirrodin Besieged,English
3,Viridian Corrupter,,94,Mirrodin Besieged,English
1,Inkmoth Nexus,,145,Mirrodin Besieged,English
5,Forest,,154,Mirrodin Besieged,English
5,Forest,,155,Mirrodin Besieged,English
1,Blight Mamba,,112,Scars of Mirrodin,English
4,Carrion Call,,115,Scars of Mirrodin,English
2,Putrefax,,126,Scars of Mirrodin,English
1,Contagion Clasp,,144,Scars of Mirrodin,English
2,Ichorclaw Myr,,166,Scars of Mirrodin,English
4,Overgrown Battlement,,203,Rise of the Eldrazi,English
4,Groundswell,,104,Worldwake,English
4,Primal Bellow,,176,Zendikar,English
,,,,,
,SIDEBOARD,,,,
1,"Melira, Sylvok Outcast",,115,New Phyrexia,English
1,Pistus Strike,,86,Mirrodin Besieged,English
2,Unnatural Predation,,93,Mirrodin Besieged,English
1,Viridian Corrupter,,94,Mirrodin Besieged,English
3,Contagion Clasp,,144,Scars of Mirrodin,English
3,Trigon of Infestation,,214,Scars of Mirrodin,English
2,Obstinate Baloth,,188,Magic 2011,English
2,Vines of Vastwood,,193,Zendikar,English
