Count,Name,Foil,Card Number,Edition,Language
1,Angelic Wall,,3,Odyssey,English
1,Beloved Chaplain,,11,Odyssey,English
2,Blessed Orator,,12,Odyssey,English
1,Embolden,,22,Odyssey,English
2,Hallowed Healer,,25,Odyssey,English
3,Kirtar's Desire,,27,Odyssey,English
1,Mystic Crusader,,33,Odyssey,English
1,Mystic Penitent,,34,Odyssey,English
2,Mystic Visionary,,35,Odyssey,English
3,Mystic Zealot,,36,Odyssey,English
1,Nomad Decoy,,37,Odyssey,English
1,Pilgrim of Justice,,40,Odyssey,English
1,Second Thoughts,,45,Odyssey,English
1,Shelter,,46,Odyssey,English
2,Aven Windreader,,65,Odyssey,English
2,Cephalid Broker,,71,Odyssey,English
2,Cephalid Looter,,72,Odyssey,English
1,Cephalid Retainer,,73,Odyssey,English
2,Cephalid Scout,,74,Odyssey,English
1,Peek,,91,Odyssey,English
1,Puppeteer,,97,Odyssey,English
2,Syncopate,,103,Odyssey,English
2,Think Tank,,104,Odyssey,English
2,Millikin,,302,Odyssey,English
1,Skycloud Egg,,309,Odyssey,English
1,Abandoned Outpost,,312,Odyssey,English
1,Seafloor Debris,,325,Odyssey,English
3,Plains,,331,Odyssey,English
3,Plains,,332,Odyssey,English
2,Plains,,333,Odyssey,English
2,Plains,,334,Odyssey,English
3,Island,,335,Odyssey,English
2,Island,,336,Odyssey,English
2,Island,,337,Odyssey,English
2,Island,,338,Odyssey,English
