Count,Name,Foil,Card Number,Edition,Language
1,Earth Rift,,189,Odyssey,English
2,Engulfing Flames,,191,Odyssey,English
1,Firebolt,,193,Odyssey,English
2,Reckless Charge,,215,Odyssey,English
2,Scorching Missile,,219,Odyssey,English
1,Seize the Day,,220,Odyssey,English
1,Volcanic Spray,,226,Odyssey,English
2,Beast Attack,,230,Odyssey,English
3,Chatter of the Squirrel,,233,Odyssey,English
2,Deep Reconnaissance,,236,Odyssey,English
2,Druid Lyrist,,238,Odyssey,English
3,Elephant Ambush,,240,Odyssey,English
1,Gorilla Titan,,241,Odyssey,English
1,Howling Gale,,244,Odyssey,English
1,Krosan Archer,,246,Odyssey,English
2,Leaf Dancer,,249,Odyssey,English
1,Moment's Peace,,251,Odyssey,English
1,Nantuko Mentor,,255,Odyssey,English
1,Rabid Elephant,,263,Odyssey,English
1,Refresh,,264,Odyssey,English
2,Roar of the Wurm,,266,Odyssey,English
2,Sylvan Might,,277,Odyssey,English
3,Mountain,,343,Odyssey,English
3,Mountain,,344,Odyssey,English
2,Mountain,,345,Odyssey,English
2,Mountain,,346,Odyssey,English
4,Forest,,347,Odyssey,English
4,Forest,,348,Odyssey,English
4,Forest,,349,Odyssey,English
3,Forest,,350,Odyssey,English
