Count,Name,Foil,Card Number,Edition,Language
2,Careful Study,,70,Odyssey,English
2,Cephalid Looter,,72,Odyssey,English
1,Deluge,,80,Odyssey,English
2,Peek,,91,Odyssey,English
2,Predict,,94,Odyssey,English
2,Repel,,98,Odyssey,English
2,Crashing Centaur,,235,Odyssey,English
2,Diligent Farmhand,,237,Odyssey,English
1,Ivy Elemental,,245,Odyssey,English
2,Krosan Avenger,,247,Odyssey,English
2,Metamorphic Wurm,,250,Odyssey,English
2,Muscle Burst,,252,Odyssey,English
2,Nimble Mongoose,,258,Odyssey,English
1,Overrun,,260,Odyssey,English
1,Roar of the Wurm,,266,Odyssey,English
1,Seton's Desire,,268,Odyssey,English
2,Springing Tiger,,272,Odyssey,English
1,Stone-Tongue Basilisk,,276,Odyssey,English
1,Sylvan Might,,277,Odyssey,English
1,Twigwalker,,279,Odyssey,English
2,Werebear,,282,Odyssey,English
2,Wild Mongrel,,283,Odyssey,English
1,Seafloor Debris,,325,Odyssey,English
1,Timberland Ruins,,330,Odyssey,English
3,Island,,335,Odyssey,English
2,Island,,336,Odyssey,English
2,Island,,337,Odyssey,English
2,Island,,338,Odyssey,English
4,Forest,,347,Odyssey,English
3,Forest,,348,Odyssey,English
3,Forest,,349,Odyssey,English
3,Forest,,350,Odyssey,English
