Count,Name,Foil,Card Number,Edition,Language
1,Honored Hierarch,foil,1,Magic Origins Clash Pack Promos,English
1,Seeker of the Way,foil,2,Magic Origins Clash Pack Promos,English
1,Valorous Stance,foil,3,Magic Origins Clash Pack Promos,English
1,Anointer of Champions,,3,Magic Origins,English
1,Consul's Lieutenant,,11,Magic Origins,English
2,Enshrouding Mist,,13,Magic Origins,English
1,Kytheon's Irregulars,,24,Magic Origins,English
2,Mighty Leap,,26,Magic Origins,English
2,Topan Freeblade,,36,Magic Origins,English
2,War Oracle,,41,Magic Origins,English
1,Outland Colossus,,193,Magic Origins,English
2,Undercity Troll,,202,Magic Origins,English
2,Titanic Growth,,201,Magic Origins,English
2,Valeron Wardens,,203,Magic Origins,English
2,Citadel Castellan,,213,Magic Origins,English
2,Evolving Wilds,,246,Magic Origins,English
1,Dragon Hunter,,10,Dragons of Tarkir,English
1,Dromoka Warrior,,14,Dragons of Tarkir,English
2,Pacifism,,29,Dragons of Tarkir,English
1,Collected Company,,177,Dragons of Tarkir,English
2,Epic Confrontation,,185,Dragons of Tarkir,English
1,Dromoka's Command,,221,Dragons of Tarkir,English
1,Dragon Bell Monk,,10,Fate Reforged,English
1,Pressure Point,,21,Fate Reforged,English
1,Feat of Resistance,,10,Khans of Tarkir,English
2,Blossoming Sands,,231,Khans of Tarkir,English
1,Windswept Heath,,248,Khans of Tarkir,English
3,Plains,,253,Magic Origins,English
3,Plains,,254,Magic Origins,English
3,Plains,,255,Magic Origins,English
2,Plains,,256,Magic Origins,English
3,Forest,,269,Magic Origins,English
3,Forest,,270,Magic Origins,English
2,Forest,,271,Magic Origins,English
2,Forest,,272,Magic Origins,English
,,,,,
1,"Dromoka, the Eternal",foil,4,Magic Origins Clash Pack Promos,English
1,Siege Rhino,foil,5,Magic Origins Clash Pack Promos,English
1,Sandsteppe Citadel,foil,6,Magic Origins Clash Pack Promos,English
1,"Anafenza, Kin-Tree Spirit",,2,Dragons of Tarkir,English
3,Lightwalker,,24,Dragons of Tarkir,English
1,Scale Blessing,,35,Dragons of Tarkir,English
2,Ultimate Price,,124,Dragons of Tarkir,English
1,Avatar of the Resolute,,175,Dragons of Tarkir,English
2,Dromoka's Gift,,184,Dragons of Tarkir,English
1,Citadel Siege,,8,Fate Reforged,English
1,Elite Scaleguard,,12,Fate Reforged,English
1,Ancestral Vengeance,,61,Fate Reforged,English
2,Cached Defenses,,126,Fate Reforged,English
2,Map the Wastes,,134,Fate Reforged,English
1,Abzan Battle Priest,,1,Khans of Tarkir,English
2,Abzan Falconer,,2,Khans of Tarkir,English
2,Ainok Bond-Kin,,3,Khans of Tarkir,English
1,Suspension Field,,25,Khans of Tarkir,English
1,Debilitating Injury,,68,Khans of Tarkir,English
2,Disowned Ancestor,,70,Khans of Tarkir,English
1,Mer-Ek Nightblade,,79,Khans of Tarkir,English
2,Incremental Growth,,138,Khans of Tarkir,English
1,Longshot Squad,,140,Khans of Tarkir,English
1,Tuskguard Captain,,156,Khans of Tarkir,English
1,Abzan Ascendancy,,160,Khans of Tarkir,English
2,Blossoming Sands,,231,Khans of Tarkir,English
2,Jungle Hollow,,235,Khans of Tarkir,English
2,Scoured Barrens,,242,Khans of Tarkir,English
2,Plains,,253,Magic Origins,English
2,Plains,,254,Magic Origins,English
1,Plains,,255,Magic Origins,English
2,Plains,,256,Magic Origins,English
2,Swamp,,261,Magic Origins,English
2,Swamp,,262,Magic Origins,English
1,Swamp,,263,Magic Origins,English
1,Swamp,,264,Magic Origins,English
1,Forest,,269,Magic Origins,English
1,Forest,,270,Magic Origins,English
2,Forest,,271,Magic Origins,English
2,Forest,,272,Magic Origins,English
