Count,Name,Foil,Card Number,Edition,Condition,Language
1,Grim Lavamancer,foil,1,Premium Deck Series: Fire and Lightning,Near Mint,English
2,Jackal Pup,foil,2,Premium Deck Series: Fire and Lightning,Near Mint,English
2,Mogg Fanatic,foil,3,Premium Deck Series: Fire and Lightning,Near Mint,English
2,Spark Elemental,foil,4,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Figure of Destiny,foil,5,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Hellspark Elemental,foil,6,Premium Deck Series: Fire and Lightning,Near Mint,English
2,Keldon Marauders,foil,7,Premium Deck Series: Fire and Lightning,Near Mint,English
2,Mogg Flunkies,foil,8,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Cinder Pyromancer,foil,9,Premium Deck Series: Fire and Lightning,Near Mint,English
1,"Jaya Ballard, Task Mage",foil,10,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Vulshok Sorcerer,foil,11,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Ball Lightning,foil,12,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Boggart Ram-Gang,foil,13,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Keldon Champion,foil,14,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Fire Servant,foil,15,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Chain Lightning,foil,16,Premium Deck Series: Fire and Lightning,Near Mint,English
4,Lightning Bolt,foil,17,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Price of Progress,foil,18,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Thunderbolt,foil,19,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Reverberate,foil,20,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Browbeat,foil,21,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Flames of the Blood Hand,foil,22,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Hammer of Bogardan,foil,23,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Pillage,foil,24,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Sudden Impact,foil,25,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Fireblast,foil,26,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Fireball,foil,27,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Barbarian Ring,foil,28,Premium Deck Series: Fire and Lightning,Near Mint,English
1,Ghitu Encampment,foil,29,Premium Deck Series: Fire and Lightning,Near Mint,English
2,Teetering Peaks,foil,30,Premium Deck Series: Fire and Lightning,Near Mint,English
6,Mountain,foil,31,Premium Deck Series: Fire and Lightning,Near Mint,English
5,Mountain,foil,32,Premium Deck Series: Fire and Lightning,Near Mint,English
5,Mountain,foil,33,Premium Deck Series: Fire and Lightning,Near Mint,English
5,Mountain,foil,34,Premium Deck Series: Fire and Lightning,Near Mint,English
