Count,Name,Foil,Card Number,Edition,Condition,Language
2,Putrid Imp,foil,1,Premium Deck Series: Graveborn,Near Mint,English
2,Hidden Horror,foil,2,Premium Deck Series: Graveborn,Near Mint,English
1,Faceless Butcher,foil,3,Premium Deck Series: Graveborn,Near Mint,English
1,Twisted Abomination,foil,4,Premium Deck Series: Graveborn,Near Mint,English
1,"Crosis, the Purger",foil,5,Premium Deck Series: Graveborn,Near Mint,English
1,Avatar of Woe,foil,6,Premium Deck Series: Graveborn,Near Mint,English
1,Terastodon,foil,7,Premium Deck Series: Graveborn,Near Mint,English
1,Verdant Force,foil,8,Premium Deck Series: Graveborn,Near Mint,English
1,Sphinx of the Steel Wind,foil,9,Premium Deck Series: Graveborn,Near Mint,English
1,Inkwell Leviathan,foil,10,Premium Deck Series: Graveborn,Near Mint,English
1,Blazing Archon,foil,11,Premium Deck Series: Graveborn,Near Mint,English
1,Cabal Therapy,foil,12,Premium Deck Series: Graveborn,Near Mint,English
3,Duress,foil,13,Premium Deck Series: Graveborn,Near Mint,English
1,Entomb,foil,14,Premium Deck Series: Graveborn,Near Mint,English
1,Reanimate,foil,15,Premium Deck Series: Graveborn,Near Mint,English
3,Animate Dead,foil,16,Premium Deck Series: Graveborn,Near Mint,English
3,Exhume,foil,17,Premium Deck Series: Graveborn,Near Mint,English
2,Sickening Dreams,foil,18,Premium Deck Series: Graveborn,Near Mint,English
1,Zombie Infestation,foil,19,Premium Deck Series: Graveborn,Near Mint,English
2,Buried Alive,foil,20,Premium Deck Series: Graveborn,Near Mint,English
2,Last Rites,foil,21,Premium Deck Series: Graveborn,Near Mint,English
2,Diabolic Servitude,foil,22,Premium Deck Series: Graveborn,Near Mint,English
2,Dread Return,foil,23,Premium Deck Series: Graveborn,Near Mint,English
1,Crystal Vein,foil,24,Premium Deck Series: Graveborn,Near Mint,English
1,Ebon Stronghold,foil,25,Premium Deck Series: Graveborn,Near Mint,English
1,Polluted Mire,foil,26,Premium Deck Series: Graveborn,Near Mint,English
6,Swamp,foil,27,Premium Deck Series: Graveborn,Near Mint,English
5,Swamp,foil,28,Premium Deck Series: Graveborn,Near Mint,English
5,Swamp,foil,29,Premium Deck Series: Graveborn,Near Mint,English
5,Swamp,foil,30,Premium Deck Series: Graveborn,Near Mint,English
