Count,Name,Foil,Card Number,Edition,Language
1,Akroma's Vengeance,,1,Planechase,English
1,Congregate,,2,Planechase,English
1,Kor Sanctifiers,,3,Planechase,English
1,Oblivion Ring,,4,Planechase,English
1,Orim's Thunder,,5,Planechase,English
1,Prison Term,,6,Planechase,English
1,Soul Warden,,7,Planechase,English
1,Broodstar,,8,Planechase,English
1,Fabricate,,9,Planechase,English
1,Keep Watch,,10,Planechase,English
1,Master of Etherium,,11,Planechase,English
1,Qumulox,,12,Planechase,English
1,Sarcomite Myr,,13,Planechase,English
1,Thirst for Knowledge,,14,Planechase,English
1,Vedalken Engineer,,15,Planechase,English
1,Whiplash Trap,,16,Planechase,English
1,Ascendant Evincar,,17,Planechase,English
1,Beacon of Unrest,,18,Planechase,English
1,Beseech the Queen,,19,Planechase,English
2,Cadaverous Knight,,20,Planechase,English
1,Consume Spirit,,21,Planechase,English
1,Corpse Harvester,,22,Planechase,English
1,Cruel Revival,,23,Planechase,English
2,Dark Ritual,,24,Planechase,English
1,Death Baron,,25,Planechase,English
1,Dregscape Zombie,,26,Planechase,English
2,Festering Goblin,,27,Planechase,English
1,Grave Pact,,28,Planechase,English
1,Gravedigger,,29,Planechase,English
1,Helldozer,,30,Planechase,English
1,Hideous End,,31,Planechase,English
1,Incremental Blight,,32,Planechase,English
1,Innocent Blood,,33,Planechase,English
1,Nefashu,,34,Planechase,English
1,Noxious Ghoul,,35,Planechase,English
1,Phyrexian Arena,,36,Planechase,English
2,Phyrexian Ghoul,,37,Planechase,English
1,Profane Command,,38,Planechase,English
1,Rotting Rats,,39,Planechase,English
1,Shepherd of Rot,,40,Planechase,English
1,Soulless One,,41,Planechase,English
1,Syphon Mind,,42,Planechase,English
1,Syphon Soul,,43,Planechase,English
2,Undead Warchief,,44,Planechase,English
1,Withered Wretch,,45,Planechase,English
1,Arc Lightning,,46,Planechase,English
1,Blaze,,47,Planechase,English
1,Bogardan Firefiend,,48,Planechase,English
1,Bogardan Rager,,49,Planechase,English
1,Browbeat,,50,Planechase,English
1,Cinder Elemental,,51,Planechase,English
1,Cone of Flame,,52,Planechase,English
2,Flamekin Harbinger,,53,Planechase,English
1,Flametongue Kavu,,54,Planechase,English
1,Furnace of Rath,,55,Planechase,English
1,Goblin Offensive,,56,Planechase,English
1,Insurrection,,57,Planechase,English
1,Keldon Champion,,58,Planechase,English
1,Menacing Ogre,,59,Planechase,English
1,Pyrotechnics,,60,Planechase,English
1,Reckless Charge,,61,Planechase,English
1,Relentless Assault,,62,Planechase,English
2,Rockslide Elemental,,63,Planechase,English
1,Rolling Thunder,,64,Planechase,English
1,Rorix Bladewing,,65,Planechase,English
2,Smokebraider,,66,Planechase,English
1,Taurean Mauler,,67,Planechase,English
1,Beast Hunt,,68,Planechase,English
1,Briarhorn,,69,Planechase,English
1,Explosive Vegetation,,70,Planechase,English
1,Fertile Ground,,71,Planechase,English
1,Fertilid,,72,Planechase,English
1,Forgotten Ancient,,73,Planechase,English
1,Ivy Elemental,,74,Planechase,English
1,Living Hive,,75,Planechase,English
1,Rampant Growth,,76,Planechase,English
1,Search for Tomorrow,,77,Planechase,English
1,Silverglade Elemental,,78,Planechase,English
1,Tornado Elemental,,79,Planechase,English
1,Tribal Unity,,80,Planechase,English
1,Verdant Force,,81,Planechase,English
2,Boros Swiftblade,,82,Planechase,English
1,Branching Bolt,,83,Planechase,English
1,Bull Cerodon,,84,Planechase,English
1,Captain's Maneuver,,85,Planechase,English
1,Cerodon Yearling,,86,Planechase,English
1,Fires of Yavimaya,,87,Planechase,English
1,Glory of Warfare,,88,Planechase,English
1,Hull Breach,,89,Planechase,English
2,Lightning Helix,,90,Planechase,English
1,Mage Slayer,,91,Planechase,English
1,"Razia, Boros Archangel",,92,Planechase,English
1,Rumbling Slum,,93,Planechase,English
1,Savage Twister,,94,Planechase,English
1,Sludge Strider,,95,Planechase,English
1,Arsenal Thresher,,96,Planechase,English
1,Balefire Liege,,97,Planechase,English
1,Battlegate Mimic,,98,Planechase,English
1,Boros Guildmage,,99,Planechase,English
1,Double Cleave,,100,Planechase,English
1,Duergar Hedge-Mage,,101,Planechase,English
1,Hearthfire Hobgoblin,,102,Planechase,English
1,Assault // Battery,,103,Planechase,English
1,Order // Chaos,,104,Planechase,English
1,Arcbound Crusher,,105,Planechase,English
1,Arcbound Slith,,106,Planechase,English
1,Boros Signet,,107,Planechase,English
1,"Bosh, Iron Golem",,108,Planechase,English
1,Copper Myr,,109,Planechase,English
1,Cranial Plating,,110,Planechase,English
1,Darksteel Forge,,111,Planechase,English
1,Door to Nothingness,,112,Planechase,English
2,Etched Oracle,,113,Planechase,English
1,Gold Myr,,114,Planechase,English
1,Iron Myr,,115,Planechase,English
1,Leaden Myr,,116,Planechase,English
1,Lodestone Myr,,117,Planechase,English
1,Loxodon Warhammer,,118,Planechase,English
1,Mask of Memory,,119,Planechase,English
2,Myr Enforcer,,120,Planechase,English
1,Nuisance Engine,,121,Planechase,English
2,Pentad Prism,,122,Planechase,English
1,Pentavus,,123,Planechase,English
1,Relic of Progenitus,,124,Planechase,English
1,Serum Tank,,125,Planechase,English
1,Silver Myr,,126,Planechase,English
2,Skeleton Shard,,127,Planechase,English
1,Suntouched Myr,,128,Planechase,English
1,Wizard Replica,,129,Planechase,English
1,Ancient Den,,130,Planechase,English
2,Boros Garrison,,131,Planechase,English
1,Cabal Coffers,,132,Planechase,English
1,Great Furnace,,133,Planechase,English
