Count,Name,Foil,Card Number,Edition,Language
1,Blaze,,47,Planechase,English
1,Bogardan Firefiend,,48,Planechase,English
1,Bogardan Rager,,49,Planechase,English
1,Browbeat,,50,Planechase,English
1,Cinder Elemental,,51,Planechase,English
2,Flamekin Harbinger,,53,Planechase,English
1,Pyrotechnics,,60,Planechase,English
1,Relentless Assault,,62,Planechase,English
2,Rockslide Elemental,,63,Planechase,English
2,Smokebraider,,66,Planechase,English
1,Taurean Mauler,,67,Planechase,English
1,Beast Hunt,,68,Planechase,English
1,Briarhorn,,69,Planechase,English
1,Explosive Vegetation,,70,Planechase,English
1,Fertile Ground,,71,Planechase,English
1,Fertilid,,72,Planechase,English
1,Forgotten Ancient,,73,Planechase,English
1,Ivy Elemental,,74,Planechase,English
1,Living Hive,,75,Planechase,English
1,Rampant Growth,,76,Planechase,English
1,Search for Tomorrow,,77,Planechase,English
1,Silverglade Elemental,,78,Planechase,English
1,Tornado Elemental,,79,Planechase,English
1,Tribal Unity,,80,Planechase,English
1,Verdant Force,,81,Planechase,English
1,Branching Bolt,,83,Planechase,English
1,Fires of Yavimaya,,87,Planechase,English
1,Hull Breach,,89,Planechase,English
1,Mage Slayer,,91,Planechase,English
1,Rumbling Slum,,93,Planechase,English
1,Savage Twister,,94,Planechase,English
1,Assault // Battery,,103,Planechase,English
1,Mask of Memory,,119,Planechase,English
2,Gruul Turf,,134,Planechase,English
2,Shivan Oasis,,137,Planechase,English
2,Terramorphic Expanse,,139,Planechase,English
3,Mountain,,156,Planechase,English
2,Mountain,,157,Planechase,English
2,Mountain,,158,Planechase,English
2,Mountain,,159,Planechase,English
3,Forest,,165,Planechase,English
2,Forest,,166,Planechase,English
2,Forest,,167,Planechase,English
2,Forest,,168,Planechase,English
,,,,,
1,Eloren Wilds,,7,Planechase,English
1,Feeding Grounds,,9,Planechase,English
1,The Great Forest,,14,Planechase,English
1,Immersturm,,17,Planechase,English
1,Isle of Vesuva,,18,Planechase,English
1,Llanowar,,22,Planechase,English
1,Murasa,,25,Planechase,English
1,Naya,,27,Planechase,English
1,Turri Island,,38,Planechase,English
1,Velis Vel,,40,Planechase,English
