Count,Name,Foil,Card Number,Edition,Language
1,Akroma's Vengeance,,1,Planechase,English
1,Congregate,,2,Planechase,English
1,Kor Sanctifiers,,3,Planechase,English
1,Oblivion Ring,,4,Planechase,English
1,Orim's Thunder,,5,Planechase,English
1,Prison Term,,6,Planechase,English
1,Soul Warden,,7,Planechase,English
1,Arc Lightning,,46,Planechase,English
1,Cone of Flame,,52,Planechase,English
1,Flametongue Kavu,,54,Planechase,English
1,Furnace of Rath,,55,Planechase,English
1,Goblin Offensive,,56,Planechase,English
1,Insurrection,,57,Planechase,English
1,Keldon Champion,,58,Planechase,English
1,Menacing Ogre,,59,Planechase,English
1,Reckless Charge,,61,Planechase,English
1,Rolling Thunder,,64,Planechase,English
1,Rorix Bladewing,,65,Planechase,English
2,Boros Swiftblade,,82,Planechase,English
1,Bull Cerodon,,84,Planechase,English
1,Captain's Maneuver,,85,Planechase,English
1,Cerodon Yearling,,86,Planechase,English
1,Glory of Warfare,,88,Planechase,English
2,Lightning Helix,,90,Planechase,English
1,"Razia, Boros Archangel",,92,Planechase,English
1,Balefire Liege,,97,Planechase,English
1,Battlegate Mimic,,98,Planechase,English
1,Boros Guildmage,,99,Planechase,English
1,Double Cleave,,100,Planechase,English
1,Duergar Hedge-Mage,,101,Planechase,English
1,Hearthfire Hobgoblin,,102,Planechase,English
1,Order // Chaos,,104,Planechase,English
1,Boros Signet,,107,Planechase,English
1,Relic of Progenitus,,124,Planechase,English
2,Boros Garrison,,131,Planechase,English
2,"Sunhome, Fortress of the Legion",,138,Planechase,English
2,Terramorphic Expanse,,139,Planechase,English
3,Plains,,143,Planechase,English
2,Plains,,144,Planechase,English
2,Plains,,145,Planechase,English
2,Plains,,146,Planechase,English
3,Mountain,,161,Planechase,English
2,Mountain,,162,Planechase,English
2,Mountain,,163,Planechase,English
2,Mountain,,164,Planechase,English
,,,,,
1,Academy at Tolaria West,,1,Planechase,English
1,Agyrem,,3,Planechase,English
1,Glimmervoid Basin,,12,Planechase,English
1,Izzet Steam Maze,,19,Planechase,English
1,Naar Isle,,26,Planechase,English
1,Otaria,,28,Planechase,English
1,Shiv,,34,Planechase,English
1,Skybreen,,35,Planechase,English
1,Sokenzan,,36,Planechase,English
1,Stronghold Furnace,,37,Planechase,English
