Count,Name,Foil,Card Number,Edition,Language
1,Guard Gomazoa,,17,Planechase 2012,English
2,Illusory Angel,,19,Planechase 2012,English
1,Peregrine Drake,,22,Planechase 2012,English
1,Primal Plasma,,23,Planechase 2012,English
2,See Beyond,,25,Planechase 2012,English
1,Sunken Hope,,26,Planechase 2012,English
1,Whirlpool Warrior,,29,Planechase 2012,English
1,Arc Trail,,39,Planechase 2012,English
1,Erratic Explosion,,41,Planechase 2012,English
2,Fiery Fall,,43,Planechase 2012,English
1,Mass Mutiny,,48,Planechase 2012,English
1,Rivals' Duel,,51,Planechase 2012,English
1,Beast Within,,57,Planechase 2012,English
1,Brutalizer Exarch,,61,Planechase 2012,English
1,Cultivate,,62,Planechase 2012,English
1,Ondu Giant,,71,Planechase 2012,English
1,Bituminous Blast,,83,Planechase 2012,English
2,Bloodbraid Elf,,84,Planechase 2012,English
1,Deny Reality,,85,Planechase 2012,English
1,Enigma Sphinx,,89,Planechase 2012,English
1,Enlisted Wurm,,90,Planechase 2012,English
1,Etherium-Horn Sorcerer,,91,Planechase 2012,English
1,Fusion Elemental,,93,Planechase 2012,English
1,Kathari Remnant,,98,Planechase 2012,English
1,Last Stand,,100,Planechase 2012,English
1,Maelstrom Wanderer,,101,Planechase 2012,English
1,Noggle Ransacker,,102,Planechase 2012,English
2,Shardless Agent,,104,Planechase 2012,English
2,Armillary Sphere,,108,Planechase 2012,English
1,Fractured Powerstone,,111,Planechase 2012,English
1,Exotic Orchard,,117,Planechase 2012,English
2,Rupture Spire,,124,Planechase 2012,English
2,Shimmering Grotto,,126,Planechase 2012,English
1,Terramorphic Expanse,,129,Planechase 2012,English
1,Vivid Creek,,131,Planechase 2012,English
2,Plains,,132,Planechase 2012,English
5,Island,,137,Planechase 2012,English
2,Swamp,,142,Planechase 2012,English
4,Mountain,,147,Planechase 2012,English
4,Forest,,151,Planechase 2012,English
,,,,,
1,Mutual Epiphany,,4,Planechase 2012,English
1,Time Distortion,,8,Planechase 2012,English
1,Grand Ossuary,,17,Planechase 2012,English
1,Hedron Fields of Agadeem,,19,Planechase 2012,English
1,Mount Keralia,,25,Planechase 2012,English
1,Nephalia,,26,Planechase 2012,English
1,Orzhova,,30,Planechase 2012,English
1,Trail of the Mage-Rings,,37,Planechase 2012,English
1,Truga Jungle,,38,Planechase 2012,English
1,Windriddle Palaces,,39,Planechase 2012,English
