Count,Name,Foil,Card Number,Edition,Language
2,Armored Griffin,,1,Planechase 2012,English
1,Auramancer,,2,Planechase 2012,English
1,Auratouched Mage,,3,Planechase 2012,English
1,Cage of Hands,,4,Planechase 2012,English
1,Celestial Ancient,,5,Planechase 2012,English
2,Felidar Umbra,,6,Planechase 2012,English
1,Ghostly Prison,,7,Planechase 2012,English
1,Hyena Umbra,,8,Planechase 2012,English
1,Kor Spiritdancer,,9,Planechase 2012,English
1,Mammoth Umbra,,10,Planechase 2012,English
1,Sigil of the Empty Throne,,11,Planechase 2012,English
1,Spirit Mantle,,12,Planechase 2012,English
1,Three Dreams,,13,Planechase 2012,English
2,Aura Gnarlid,,55,Planechase 2012,English
2,Boar Umbra,,58,Planechase 2012,English
1,Bramble Elemental,,59,Planechase 2012,English
1,Dowsing Shaman,,63,Planechase 2012,English
2,Dreampod Druid,,64,Planechase 2012,English
2,Lumberknot,,66,Planechase 2012,English
1,Predatory Urge,,74,Planechase 2012,English
1,Quiet Disrepair,,75,Planechase 2012,English
1,Rancor,,76,Planechase 2012,English
1,Silhana Ledgewalker,,77,Planechase 2012,English
1,Snake Umbra,,78,Planechase 2012,English
1,Elderwood Scion,,88,Planechase 2012,English
1,Indrik Umbra,,96,Planechase 2012,English
1,Krond the Dawn-Clad,,99,Planechase 2012,English
1,Pollenbright Wings,,103,Planechase 2012,English
1,Fractured Powerstone,,111,Planechase 2012,English
1,Thran Golem,,114,Planechase 2012,English
2,Graypelt Refuge,,118,Planechase 2012,English
1,Krosan Verge,,123,Planechase 2012,English
2,Selesnya Sanctuary,,125,Planechase 2012,English
1,Terramorphic Expanse,,129,Planechase 2012,English
1,"Vitu-Ghazi, the City-Tree",,130,Planechase 2012,English
2,Plains,,133,Planechase 2012,English
2,Plains,,134,Planechase 2012,English
2,Plains,,135,Planechase 2012,English
2,Plains,,136,Planechase 2012,English
3,Forest,,152,Planechase 2012,English
3,Forest,,154,Planechase 2012,English
3,Forest,,155,Planechase 2012,English
,,,,,
1,Chaotic Aether,,1,Planechase 2012,English
1,Planewide Disaster,,5,Planechase 2012,English
1,Akoum,,9,Planechase 2012,English
1,Aretopolis,,10,Planechase 2012,English
1,Astral Arena,,11,Planechase 2012,English
1,Edge of Malacol,,13,Planechase 2012,English
1,Grove of the Dreampods,,18,Planechase 2012,English
1,Kessig,,21,Planechase 2012,English
1,Onakke Catacomb,,28,Planechase 2012,English
1,Talon Gates,,36,Planechase 2012,English
