Count,Name,Foil,Card Number,Edition,Language
2,Darkblast,,82,Ravnica: City of Guilds,English
2,Infectious Host,,91,Ravnica: City of Guilds,English
2,Last Gasp,,93,Ravnica: City of Guilds,English
1,Necromantic Thirst,,97,Ravnica: City of Guilds,English
2,Stinkweed Imp,,107,Ravnica: City of Guilds,English
1,Thoughtpicker Witch,,109,Ravnica: City of Guilds,English
1,Vigor Mortis,,111,Ravnica: City of Guilds,English
2,Elves of Deep Shadow,,161,Ravnica: City of Guilds,English
1,Elvish Skysweeper,,162,Ravnica: City of Guilds,English
2,Golgari Brownscale,,166,Ravnica: City of Guilds,English
1,Golgari Grave-Troll,,167,Ravnica: City of Guilds,English
3,Greater Mossdog,,169,Ravnica: City of Guilds,English
1,Moldervine Cloak,,173,Ravnica: City of Guilds,English
2,Recollect,,178,Ravnica: City of Guilds,English
1,Rolling Spoil,,179,Ravnica: City of Guilds,English
2,Drooling Groodion,,204,Ravnica: City of Guilds,English
2,Golgari Rotwurm,,210,Ravnica: City of Guilds,English
2,Putrefy,,221,Ravnica: City of Guilds,English
1,"Savra, Queen of the Golgari",,225,Ravnica: City of Guilds,English
2,Shambling Shell,,230,Ravnica: City of Guilds,English
2,Woodwraith Strangler,,241,Ravnica: City of Guilds,English
1,Golgari Guildmage,,248,Ravnica: City of Guilds,English
1,Golgari Rot Farm,,278,Ravnica: City of Guilds,English
1,"Svogthos, the Restless Tomb",,283,Ravnica: City of Guilds,English
2,Swamp,,295,Ravnica: City of Guilds,English
3,Swamp,,296,Ravnica: City of Guilds,English
3,Swamp,,297,Ravnica: City of Guilds,English
3,Swamp,,298,Ravnica: City of Guilds,English
3,Forest,,303,Ravnica: City of Guilds,English
2,Forest,,304,Ravnica: City of Guilds,English
3,Forest,,305,Ravnica: City of Guilds,English
3,Forest,,306,Ravnica: City of Guilds,English
