Count,Name,Foil,Card Number,Edition,Language
1,Exultant Skymarcher,,7,Rivals of Ixalan,English
2,Famished Paladin,,8,Rivals of Ixalan,English
2,Moment of Triumph,,15,Rivals of Ixalan,English
1,Paladin of Atonement,,16,Rivals of Ixalan,English
1,Champion of Dusk,,64,Rivals of Ixalan,English
1,Dusk Legion Zealot,,70,Rivals of Ixalan,English
2,Moment of Craving,,79,Rivals of Ixalan,English
1,Recover,,84,Rivals of Ixalan,English
1,Legion Lieutenant,,163,Rivals of Ixalan,English
4,Forsaken Sanctuary,,187,Rivals of Ixalan,English
3,Plains,,192,Rivals of Ixalan,English
4,Swamp,,194,Rivals of Ixalan,English
1,"Vraska, Scheming Gorgon",foil,197,Rivals of Ixalan,English
4,Vampire Champion,,198,Rivals of Ixalan,English
3,Vraska's Conquistador,,199,Rivals of Ixalan,English
2,Vraska's Scorn,,200,Rivals of Ixalan,English
1,Bright Reprisal,,7,Ixalan,English
2,Inspiring Cleric,,16,Ixalan,English
2,Skyblade of the Legion,,37,Ixalan,English
1,Bishop of the Bloodstained,,91,Ixalan,English
1,Deathless Ancient,,100,Ixalan,English
2,Queen's Bay Soldier,,115,Ixalan,English
2,Skymarch Bloodletter,,124,Ixalan,English
1,Vicious Conquistador,,128,Ixalan,English
2,Gilded Sentinel,,239,Ixalan,English
3,Plains,,262,Ixalan,English
3,Plains,,263,Ixalan,English
4,Swamp,,270,Ixalan,English
3,Swamp,,271,Ixalan,English
