Count,Name,Foil,Card Number,Edition,Language
3,Arrester's Zeal,,4,Ravnica Allegiance,English
3,Concordia Pegasus,,7,Ravnica Allegiance,English
2,Prowling Caracal,,17,Ravnica Allegiance,English
2,Spirit of the Spires,,23,Ravnica Allegiance,English
2,Summary Judgment,,24,Ravnica Allegiance,English
1,Tenth District Veteran,,26,Ravnica Allegiance,English
1,Unbreakable Formation,,29,Ravnica Allegiance,English
1,Chillbringer,,33,Ravnica Allegiance,English
2,Code of Constraint,,35,Ravnica Allegiance,English
2,Senate Courier,,50,Ravnica Allegiance,English
1,Verity Circle,,58,Ravnica Allegiance,English
2,Windstorm Drake,,60,Ravnica Allegiance,English
1,Azorius Knight-Arbiter,,154,Ravnica Allegiance,English
1,Sphinx's Insight,,209,Ravnica Allegiance,English
2,Azorius Guildgate,,243,Ravnica Allegiance,English
2,Azorius Guildgate,,244,Ravnica Allegiance,English
12,Plains,,260,Ravnica Allegiance,English
10,Island,,261,Ravnica Allegiance,English
1,"Dovin, Architect of Law",foil,265,Ravnica Allegiance,English
4,Elite Arrester,,266,Ravnica Allegiance,English
2,Dovin's Dismissal,,267,Ravnica Allegiance,English
3,Dovin's Automaton,,268,Ravnica Allegiance,English
