Count,Name,Foil,Card Number,Edition,Language
1,Ministrant of Obligation,,16,Ravnica Allegiance,English
1,Sky Tether,,21,Ravnica Allegiance,English
1,Smothering Tithe,,22,Ravnica Allegiance,English
1,Spirit of the Spires,,23,Ravnica Allegiance,English
1,Summary Judgment,,24,Ravnica Allegiance,English
1,Unbreakable Formation,,29,Ravnica Allegiance,English
1,Skitter Eel,,53,Ravnica Allegiance,English
1,Sphinx of Foresight,,55,Ravnica Allegiance,English
1,Windstorm Drake,,60,Ravnica Allegiance,English
1,Blade Juggler,,63,Ravnica Allegiance,English
1,Dead Revels,,71,Ravnica Allegiance,English
1,Orzhov Enforcer,,79,Ravnica Allegiance,English
1,Spawn of Mayhem,,85,Ravnica Allegiance,English
1,Vindictive Vampire,,90,Ravnica Allegiance,English
1,Flames of the Raze-Boar,,101,Ravnica Allegiance,English
1,Immolation Shaman,,106,Ravnica Allegiance,English
1,Rix Maadi Reveler,,109,Ravnica Allegiance,English
1,Skewer the Critics,,115,Ravnica Allegiance,English
1,Guardian Project,,130,Ravnica Allegiance,English
1,Trollbred Guardian,,148,Ravnica Allegiance,English
1,Applied Biomancy,,153,Ravnica Allegiance,English
1,Basilica Bell-Haunt,,156,Ravnica Allegiance,English
1,Cindervines,,161,Ravnica Allegiance,English
2,Clan Guildmage,,162,Ravnica Allegiance,English
1,Ethereal Absolution,,170,Ravnica Allegiance,English
1,Final Payment,,171,Ravnica Allegiance,English
1,Frilled Mystic,,174,Ravnica Allegiance,English
1,Galloping Lizrog,,175,Ravnica Allegiance,English
2,Imperious Oligarch,,184,Ravnica Allegiance,English
1,Mortify,,192,Ravnica Allegiance,English
1,Pitiless Pontiff,,194,Ravnica Allegiance,English
1,Rakdos Firewheeler,,197,Ravnica Allegiance,English
1,Ravager Wurm,,200,Ravnica Allegiance,English
1,Rhythm of the Wild,,201,Ravnica Allegiance,English
1,Simic Ascendancy,,207,Ravnica Allegiance,English
1,Sphinx of New Prahv,,208,Ravnica Allegiance,English
1,Sphinx's Insight,,209,Ravnica Allegiance,English
1,Sunder Shaman,,210,Ravnica Allegiance,English
1,Teysa Karlov,,212,Ravnica Allegiance,English
1,Theater of Horrors,,213,Ravnica Allegiance,English
1,Zhur-Taa Goblin,,215,Ravnica Allegiance,English
1,Carnival // Carnage,,222,Ravnica Allegiance,English
1,Collision // Colossus,,223,Ravnica Allegiance,English
1,Consecrate // Consume,,224,Ravnica Allegiance,English
1,Depose // Deploy,,225,Ravnica Allegiance,English
1,Warrant // Warden,,230,Ravnica Allegiance,English
2,Azorius Guildgate,,243,Ravnica Allegiance,English
2,Azorius Guildgate,,244,Ravnica Allegiance,English
2,Gruul Guildgate,,249,Ravnica Allegiance,English
2,Gruul Guildgate,,250,Ravnica Allegiance,English
2,Orzhov Guildgate,,252,Ravnica Allegiance,English
2,Orzhov Guildgate,,253,Ravnica Allegiance,English
2,Rakdos Guildgate,,255,Ravnica Allegiance,English
2,Rakdos Guildgate,,256,Ravnica Allegiance,English
2,Simic Guildgate,,257,Ravnica Allegiance,English
2,Simic Guildgate,,258,Ravnica Allegiance,English
1,"Isperia, Supreme Judge",foil,1,Ravnica Allegiance Guild Kit,English
1,Azorius Herald,,2,Ravnica Allegiance Guild Kit,English
1,Azorius Justiciar,,3,Ravnica Allegiance Guild Kit,English
1,Stoic Ephemera,,4,Ravnica Allegiance Guild Kit,English
1,Court Hussar,,5,Ravnica Allegiance Guild Kit,English
1,Hover Barrier,,6,Ravnica Allegiance Guild Kit,English
1,Archon of the Triumvirate,,7,Ravnica Allegiance Guild Kit,English
1,Azorius Charm,,8,Ravnica Allegiance Guild Kit,English
1,Azorius Guildmage,,9,Ravnica Allegiance Guild Kit,English
1,Detention Sphere,,10,Ravnica Allegiance Guild Kit,English
1,Dovescape,,11,Ravnica Allegiance Guild Kit,English
1,Dramatic Rescue,,12,Ravnica Allegiance Guild Kit,English
1,Isperia the Inscrutable,,13,Ravnica Allegiance Guild Kit,English
2,Judge's Familiar,,14,Ravnica Allegiance Guild Kit,English
1,Lavinia of the Tenth,,15,Ravnica Allegiance Guild Kit,English
1,Lyev Skyknight,,16,Ravnica Allegiance Guild Kit,English
1,Pride of the Clouds,,17,Ravnica Allegiance Guild Kit,English
1,Render Silent,,18,Ravnica Allegiance Guild Kit,English
1,Sky Hussar,,19,Ravnica Allegiance Guild Kit,English
1,Skymark Roc,,20,Ravnica Allegiance Guild Kit,English
1,Sphinx's Revelation,,21,Ravnica Allegiance Guild Kit,English
1,Windreaver,,22,Ravnica Allegiance Guild Kit,English
1,Azorius Keyrune,,23,Ravnica Allegiance Guild Kit,English
2,Azorius Signet,,24,Ravnica Allegiance Guild Kit,English
4,Azorius Chancery,,25,Ravnica Allegiance Guild Kit,English
8,Plains,,26,Ravnica Allegiance Guild Kit,English
8,Island,,27,Ravnica Allegiance Guild Kit,English
1,"Teysa, Orzhov Scion",foil,28,Ravnica Allegiance Guild Kit,English
1,Belfry Spirit,,29,Ravnica Allegiance Guild Kit,English
1,Martyred Rusalka,,30,Ravnica Allegiance Guild Kit,English
1,Keening Banshee,,31,Ravnica Allegiance Guild Kit,English
1,Plagued Rusalka,,32,Ravnica Allegiance Guild Kit,English
1,Pontiff of Blight,,33,Ravnica Allegiance Guild Kit,English
1,Skeletal Vampire,,34,Ravnica Allegiance Guild Kit,English
1,Stab Wound,,35,Ravnica Allegiance Guild Kit,English
1,Ultimate Price,,36,Ravnica Allegiance Guild Kit,English
1,Angel of Despair,,37,Ravnica Allegiance Guild Kit,English
1,Deathpact Angel,,38,Ravnica Allegiance Guild Kit,English
1,Debtors' Knell,,39,Ravnica Allegiance Guild Kit,English
1,Ghost Council of Orzhova,,40,Ravnica Allegiance Guild Kit,English
1,One Thousand Lashes,,41,Ravnica Allegiance Guild Kit,English
1,Orzhov Charm,,42,Ravnica Allegiance Guild Kit,English
1,Orzhov Pontiff,,43,Ravnica Allegiance Guild Kit,English
1,Pillory of the Sleepless,,44,Ravnica Allegiance Guild Kit,English
1,Sin Collector,,45,Ravnica Allegiance Guild Kit,English
1,Treasury Thrull,,46,Ravnica Allegiance Guild Kit,English
2,Vizkopa Guildmage,,47,Ravnica Allegiance Guild Kit,English
2,Orzhov Signet,,48,Ravnica Allegiance Guild Kit,English
4,Orzhov Basilica,,49,Ravnica Allegiance Guild Kit,English
8,Plains,,50,Ravnica Allegiance Guild Kit,English
8,Swamp,,51,Ravnica Allegiance Guild Kit,English
1,"Rakdos, Lord of Riots",foil,52,Ravnica Allegiance Guild Kit,English
1,Crypt Champion,,53,Ravnica Allegiance Guild Kit,English
1,Thrill-Kill Assassin,,54,Ravnica Allegiance Guild Kit,English
1,Cackling Flames,,55,Ravnica Allegiance Guild Kit,English
1,Demonfire,,56,Ravnica Allegiance Guild Kit,English
1,Rakdos Pit Dragon,,57,Ravnica Allegiance Guild Kit,English
1,Splatter Thug,,58,Ravnica Allegiance Guild Kit,English
1,Utvara Hellkite,,59,Ravnica Allegiance Guild Kit,English
1,Auger Spree,,60,Ravnica Allegiance Guild Kit,English
1,Avatar of Discord,,61,Ravnica Allegiance Guild Kit,English
1,Carnival Hellsteed,,62,Ravnica Allegiance Guild Kit,English
1,Dreadbore,,63,Ravnica Allegiance Guild Kit,English
1,Jagged Poppet,,64,Ravnica Allegiance Guild Kit,English
1,"Lyzolda, the Blood Witch",,65,Ravnica Allegiance Guild Kit,English
1,Master of Cruelties,,66,Ravnica Allegiance Guild Kit,English
2,Rakdos Cackler,,67,Ravnica Allegiance Guild Kit,English
1,Rakdos Charm,,68,Ravnica Allegiance Guild Kit,English
2,Rakdos Guildmage,,69,Ravnica Allegiance Guild Kit,English
1,Rakdos Shred-Freak,,70,Ravnica Allegiance Guild Kit,English
1,Rakdos the Defiler,,71,Ravnica Allegiance Guild Kit,English
1,Rakdos's Return,,72,Ravnica Allegiance Guild Kit,English
1,Riot Spikes,,73,Ravnica Allegiance Guild Kit,English
1,Wrecking Ball,,74,Ravnica Allegiance Guild Kit,English
1,Rakdos Keyrune,,75,Ravnica Allegiance Guild Kit,English
2,Rakdos Signet,,76,Ravnica Allegiance Guild Kit,English
4,Rakdos Carnarium,,77,Ravnica Allegiance Guild Kit,English
8,Swamp,,78,Ravnica Allegiance Guild Kit,English
8,Mountain,,79,Ravnica Allegiance Guild Kit,English
1,"Ruric Thar, the Unbowed",foil,80,Ravnica Allegiance Guild Kit,English
1,Skarrgan Firebird,,81,Ravnica Allegiance Guild Kit,English
1,Birds of Paradise,,82,Ravnica Allegiance Guild Kit,English
1,Protean Hulk,,83,Ravnica Allegiance Guild Kit,English
1,Skarrgan Pit-Skulk,,84,Ravnica Allegiance Guild Kit,English
1,Wasteland Viper,,85,Ravnica Allegiance Guild Kit,English
1,Wurmweaver Coil,,86,Ravnica Allegiance Guild Kit,English
1,Borborygmos,,87,Ravnica Allegiance Guild Kit,English
1,Burning-Tree Emissary,,88,Ravnica Allegiance Guild Kit,English
1,Burning-Tree Shaman,,89,Ravnica Allegiance Guild Kit,English
1,Ghor-Clan Rampager,,90,Ravnica Allegiance Guild Kit,English
1,Giant Solifuge,,91,Ravnica Allegiance Guild Kit,English
1,Gruul Charm,,92,Ravnica Allegiance Guild Kit,English
1,Pit Fight,,93,Ravnica Allegiance Guild Kit,English
1,Rubblebelt Raiders,,94,Ravnica Allegiance Guild Kit,English
1,Rubblehulk,,95,Ravnica Allegiance Guild Kit,English
1,Rumbling Slum,,96,Ravnica Allegiance Guild Kit,English
1,Savage Twister,,97,Ravnica Allegiance Guild Kit,English
1,Savageborn Hydra,,98,Ravnica Allegiance Guild Kit,English
2,Scab-Clan Mauler,,99,Ravnica Allegiance Guild Kit,English
1,"Ulasht, the Hate Seed",,100,Ravnica Allegiance Guild Kit,English
1,Zhur-Taa Druid,,101,Ravnica Allegiance Guild Kit,English
1,Zhur-Taa Swine,,102,Ravnica Allegiance Guild Kit,English
2,Gruul Signet,,103,Ravnica Allegiance Guild Kit,English
4,Gruul Turf,,104,Ravnica Allegiance Guild Kit,English
8,Mountain,,105,Ravnica Allegiance Guild Kit,English
8,Forest,,106,Ravnica Allegiance Guild Kit,English
1,"Zegana, Utopian Speaker",foil,107,Ravnica Allegiance Guild Kit,English
2,Cloudfin Raptor,,108,Ravnica Allegiance Guild Kit,English
2,Rapid Hybridization,,109,Ravnica Allegiance Guild Kit,English
1,Cytoplast Root-Kin,,110,Ravnica Allegiance Guild Kit,English
1,Experiment One,,111,Ravnica Allegiance Guild Kit,English
1,Gyre Sage,,112,Ravnica Allegiance Guild Kit,English
1,Miming Slime,,113,Ravnica Allegiance Guild Kit,English
1,Vinelasher Kudzu,,114,Ravnica Allegiance Guild Kit,English
2,Coiling Oracle,,115,Ravnica Allegiance Guild Kit,English
1,Elusive Krasis,,116,Ravnica Allegiance Guild Kit,English
1,Experiment Kraj,,117,Ravnica Allegiance Guild Kit,English
1,Fathom Mage,,118,Ravnica Allegiance Guild Kit,English
1,"Momir Vig, Simic Visionary",,119,Ravnica Allegiance Guild Kit,English
1,Nimbus Swimmer,,120,Ravnica Allegiance Guild Kit,English
1,Omnibian,,121,Ravnica Allegiance Guild Kit,English
1,Plaxcaster Frogling,,122,Ravnica Allegiance Guild Kit,English
1,Progenitor Mimic,,123,Ravnica Allegiance Guild Kit,English
1,Simic Sky Swallower,,124,Ravnica Allegiance Guild Kit,English
1,Trygon Predator,,125,Ravnica Allegiance Guild Kit,English
1,Urban Evolution,,126,Ravnica Allegiance Guild Kit,English
1,Voidslime,,127,Ravnica Allegiance Guild Kit,English
1,Vorel of the Hull Clade,,128,Ravnica Allegiance Guild Kit,English
2,Zameck Guildmage,,129,Ravnica Allegiance Guild Kit,English
2,Simic Signet,,130,Ravnica Allegiance Guild Kit,English
4,Simic Growth Chamber,,131,Ravnica Allegiance Guild Kit,English
8,Island,,132,Ravnica Allegiance Guild Kit,English
8,Forest,,133,Ravnica Allegiance Guild Kit,English
4,Bird // Thopter,,1,Extras: Ravnica Allegiance Guild Kit,English
1,Bird // Sphinx,,2,Extras: Ravnica Allegiance Guild Kit,English
2,Spirit // Spirit,,3,Extras: Ravnica Allegiance Guild Kit,English
2,Bat // Spirit,,4,Extras: Ravnica Allegiance Guild Kit,English
1,Cleric // Treasure,,5,Extras: Ravnica Allegiance Guild Kit,English
5,Dragon // Goblin,,6,Extras: Ravnica Allegiance Guild Kit,English
5,Saproling // Wurm,,7,Extras: Ravnica Allegiance Guild Kit,English
5,Ooze // Frog Lizard,,8,Extras: Ravnica Allegiance Guild Kit,English
