Count,Name,Foil,Card Number,Edition,Language
1,Flames of the Raze-Boar,,101,Ravnica Allegiance,English
1,Immolation Shaman,,106,Ravnica Allegiance,English
1,Cindervines,,161,Ravnica Allegiance,English
2,Clan Guildmage,,162,Ravnica Allegiance,English
1,Ravager Wurm,,200,Ravnica Allegiance,English
1,Rhythm of the Wild,,201,Ravnica Allegiance,English
1,Sunder Shaman,,210,Ravnica Allegiance,English
1,Zhur-Taa Goblin,,215,Ravnica Allegiance,English
1,Collision // Colossus,,223,Ravnica Allegiance,English
2,Gruul Guildgate,,249,Ravnica Allegiance,English
2,Gruul Guildgate,,250,Ravnica Allegiance,English
1,"Ruric Thar, the Unbowed",foil,80,Ravnica Allegiance Guild Kit,English
1,Skarrgan Firebird,,81,Ravnica Allegiance Guild Kit,English
1,Birds of Paradise,,82,Ravnica Allegiance Guild Kit,English
1,Protean Hulk,,83,Ravnica Allegiance Guild Kit,English
1,Skarrgan Pit-Skulk,,84,Ravnica Allegiance Guild Kit,English
1,Wasteland Viper,,85,Ravnica Allegiance Guild Kit,English
1,Wurmweaver Coil,,86,Ravnica Allegiance Guild Kit,English
1,Borborygmos,,87,Ravnica Allegiance Guild Kit,English
1,Burning-Tree Emissary,,88,Ravnica Allegiance Guild Kit,English
1,Burning-Tree Shaman,,89,Ravnica Allegiance Guild Kit,English
1,Ghor-Clan Rampager,,90,Ravnica Allegiance Guild Kit,English
1,Giant Solifuge,,91,Ravnica Allegiance Guild Kit,English
1,Gruul Charm,,92,Ravnica Allegiance Guild Kit,English
1,Pit Fight,,93,Ravnica Allegiance Guild Kit,English
1,Rubblebelt Raiders,,94,Ravnica Allegiance Guild Kit,English
1,Rubblehulk,,95,Ravnica Allegiance Guild Kit,English
1,Rumbling Slum,,96,Ravnica Allegiance Guild Kit,English
1,Savage Twister,,97,Ravnica Allegiance Guild Kit,English
1,Savageborn Hydra,,98,Ravnica Allegiance Guild Kit,English
2,Scab-Clan Mauler,,99,Ravnica Allegiance Guild Kit,English
1,"Ulasht, the Hate Seed",,100,Ravnica Allegiance Guild Kit,English
1,Zhur-Taa Druid,,101,Ravnica Allegiance Guild Kit,English
1,Zhur-Taa Swine,,102,Ravnica Allegiance Guild Kit,English
2,Gruul Signet,,103,Ravnica Allegiance Guild Kit,English
4,Gruul Turf,,104,Ravnica Allegiance Guild Kit,English
8,Mountain,,105,Ravnica Allegiance Guild Kit,English
8,Forest,,106,Ravnica Allegiance Guild Kit,English
5,Saproling // Wurm,,7,Extras: Ravnica Allegiance Guild Kit,English
