Count,Name,Foil,Card Number,Edition,Language
1,Ministrant of Obligation,,16,Ravnica Allegiance,English
1,Smothering Tithe,,22,Ravnica Allegiance,English
1,Orzhov Enforcer,,79,Ravnica Allegiance,English
1,Vindictive Vampire,,90,Ravnica Allegiance,English
1,Basilica Bell-Haunt,,156,Ravnica Allegiance,English
1,Ethereal Absolution,,170,Ravnica Allegiance,English
1,Final Payment,,171,Ravnica Allegiance,English
2,Imperious Oligarch,,184,Ravnica Allegiance,English
1,Mortify,,192,Ravnica Allegiance,English
1,Pitiless Pontiff,,194,Ravnica Allegiance,English
1,Teysa Karlov,,212,Ravnica Allegiance,English
1,Consecrate // Consume,,224,Ravnica Allegiance,English
2,Orzhov Guildgate,,252,Ravnica Allegiance,English
2,Orzhov Guildgate,,253,Ravnica Allegiance,English
1,"Teysa, Orzhov Scion",foil,28,Ravnica Allegiance Guild Kit,English
1,Belfry Spirit,,29,Ravnica Allegiance Guild Kit,English
1,Martyred Rusalka,,30,Ravnica Allegiance Guild Kit,English
1,Keening Banshee,,31,Ravnica Allegiance Guild Kit,English
1,Plagued Rusalka,,32,Ravnica Allegiance Guild Kit,English
1,Pontiff of Blight,,33,Ravnica Allegiance Guild Kit,English
1,Skeletal Vampire,,34,Ravnica Allegiance Guild Kit,English
1,Stab Wound,,35,Ravnica Allegiance Guild Kit,English
1,Ultimate Price,,36,Ravnica Allegiance Guild Kit,English
1,Angel of Despair,,37,Ravnica Allegiance Guild Kit,English
1,Deathpact Angel,,38,Ravnica Allegiance Guild Kit,English
1,Debtors' Knell,,39,Ravnica Allegiance Guild Kit,English
1,Ghost Council of Orzhova,,40,Ravnica Allegiance Guild Kit,English
1,One Thousand Lashes,,41,Ravnica Allegiance Guild Kit,English
1,Orzhov Charm,,42,Ravnica Allegiance Guild Kit,English
1,Orzhov Pontiff,,43,Ravnica Allegiance Guild Kit,English
1,Pillory of the Sleepless,,44,Ravnica Allegiance Guild Kit,English
1,Sin Collector,,45,Ravnica Allegiance Guild Kit,English
1,Treasury Thrull,,46,Ravnica Allegiance Guild Kit,English
2,Vizkopa Guildmage,,47,Ravnica Allegiance Guild Kit,English
2,Orzhov Signet,,48,Ravnica Allegiance Guild Kit,English
4,Orzhov Basilica,,49,Ravnica Allegiance Guild Kit,English
8,Plains,,50,Ravnica Allegiance Guild Kit,English
8,Swamp,,51,Ravnica Allegiance Guild Kit,English
2,Spirit // Spirit,,3,Extras: Ravnica Allegiance Guild Kit,English
2,Bat // Spirit,,4,Extras: Ravnica Allegiance Guild Kit,English
1,Cleric // Treasure,,5,Extras: Ravnica Allegiance Guild Kit,English
