Count,Name,Foil,Card Number,Edition,Language
1,Blade Juggler,,63,Ravnica Allegiance,English
1,Dead Revels,,71,Ravnica Allegiance,English
1,Spawn of Mayhem,,85,Ravnica Allegiance,English
1,Rix Maadi Reveler,,109,Ravnica Allegiance,English
1,Skewer the Critics,,115,Ravnica Allegiance,English
1,Rakdos Firewheeler,,197,Ravnica Allegiance,English
1,Theater of Horrors,,213,Ravnica Allegiance,English
1,Carnival // Carnage,,222,Ravnica Allegiance,English
2,Rakdos Guildgate,,255,Ravnica Allegiance,English
2,Rakdos Guildgate,,256,Ravnica Allegiance,English
1,"Rakdos, Lord of Riots",foil,52,Ravnica Allegiance Guild Kit,English
1,Crypt Champion,,53,Ravnica Allegiance Guild Kit,English
1,Thrill-Kill Assassin,,54,Ravnica Allegiance Guild Kit,English
1,Cackling Flames,,55,Ravnica Allegiance Guild Kit,English
1,Demonfire,,56,Ravnica Allegiance Guild Kit,English
1,Rakdos Pit Dragon,,57,Ravnica Allegiance Guild Kit,English
1,Splatter Thug,,58,Ravnica Allegiance Guild Kit,English
1,Utvara Hellkite,,59,Ravnica Allegiance Guild Kit,English
1,Auger Spree,,60,Ravnica Allegiance Guild Kit,English
1,Avatar of Discord,,61,Ravnica Allegiance Guild Kit,English
1,Carnival Hellsteed,,62,Ravnica Allegiance Guild Kit,English
1,Dreadbore,,63,Ravnica Allegiance Guild Kit,English
1,Jagged Poppet,,64,Ravnica Allegiance Guild Kit,English
1,"Lyzolda, the Blood Witch",,65,Ravnica Allegiance Guild Kit,English
1,Master of Cruelties,,66,Ravnica Allegiance Guild Kit,English
2,Rakdos Cackler,,67,Ravnica Allegiance Guild Kit,English
1,Rakdos Charm,,68,Ravnica Allegiance Guild Kit,English
2,Rakdos Guildmage,,69,Ravnica Allegiance Guild Kit,English
1,Rakdos Shred-Freak,,70,Ravnica Allegiance Guild Kit,English
1,Rakdos the Defiler,,71,Ravnica Allegiance Guild Kit,English
1,Rakdos's Return,,72,Ravnica Allegiance Guild Kit,English
1,Riot Spikes,,73,Ravnica Allegiance Guild Kit,English
1,Wrecking Ball,,74,Ravnica Allegiance Guild Kit,English
1,Rakdos Keyrune,,75,Ravnica Allegiance Guild Kit,English
2,Rakdos Signet,,76,Ravnica Allegiance Guild Kit,English
4,Rakdos Carnarium,,77,Ravnica Allegiance Guild Kit,English
8,Swamp,,78,Ravnica Allegiance Guild Kit,English
8,Mountain,,79,Ravnica Allegiance Guild Kit,English
5,Dragon // Goblin,,6,Extras: Ravnica Allegiance Guild Kit,English
