Count,Name,Foil,Card Number,Edition,Language
1,Impassioned Orator,,12,Ravnica Allegiance,English
1,Ministrant of Obligation,,16,Ravnica Allegiance,English
1,Spirit of the Spires,,23,Ravnica Allegiance,English
1,Summary Judgment,,24,Ravnica Allegiance,English
1,Arrester's Admonition,,31,Ravnica Allegiance,English
1,Faerie Duelist,,39,Ravnica Allegiance,English
1,Prying Eyes,,46,Ravnica Allegiance,English
1,Pteramander,,47,Ravnica Allegiance,English
2,Quench,,48,Ravnica Allegiance,English
1,Shimmer of Possibility,,51,Ravnica Allegiance,English
1,Blade Juggler,,63,Ravnica Allegiance,English
1,Carrion Imp,,66,Ravnica Allegiance,English
1,Cry of the Carnarium,,70,Ravnica Allegiance,English
1,Dead Revels,,71,Ravnica Allegiance,English
1,Orzhov Enforcer,,79,Ravnica Allegiance,English
1,Burn Bright,,93,Ravnica Allegiance,English
1,Clamor Shaman,,96,Ravnica Allegiance,English
3,Goblin Gathering,,104,Ravnica Allegiance,English
1,Rubblebelt Recluse,,111,Ravnica Allegiance,English
1,Skewer the Critics,,115,Ravnica Allegiance,English
1,Mammoth Spider,,132,Ravnica Allegiance,English
1,Open the Gates,,133,Ravnica Allegiance,English
1,Rampaging Rendhorn,,135,Ravnica Allegiance,English
1,Territorial Boar,,145,Ravnica Allegiance,English
1,Trollbred Guardian,,148,Ravnica Allegiance,English
1,Frilled Mystic,,174,Ravnica Allegiance,English
1,Growth Spiral,,178,Ravnica Allegiance,English
1,Hackrobat,,181,Ravnica Allegiance,English
1,Imperious Oligarch,,184,Ravnica Allegiance,English
1,Lawmage's Binding,,190,Ravnica Allegiance,English
1,Mortify,,192,Ravnica Allegiance,English
1,Pitiless Pontiff,,194,Ravnica Allegiance,English
1,Rakdos Firewheeler,,197,Ravnica Allegiance,English
1,Savage Smash,,203,Ravnica Allegiance,English
1,Senate Guildmage,,204,Ravnica Allegiance,English
1,Sharktocrab,,206,Ravnica Allegiance,English
1,Sphinx of New Prahv,,208,Ravnica Allegiance,English
1,Sunder Shaman,,210,Ravnica Allegiance,English
1,Zhur-Taa Goblin,,215,Ravnica Allegiance,English
1,Footlight Fiend,,216,Ravnica Allegiance,English
1,Azorius Locket,,231,Ravnica Allegiance,English
1,Gruul Locket,,234,Ravnica Allegiance,English
1,Orzhov Locket,,236,Ravnica Allegiance,English
1,Rakdos Locket,,237,Ravnica Allegiance,English
1,Simic Locket,,240,Ravnica Allegiance,English
1,Azorius Guildgate,,243,Ravnica Allegiance,English
1,Azorius Guildgate,,244,Ravnica Allegiance,English
1,Gruul Guildgate,,249,Ravnica Allegiance,English
1,Gruul Guildgate,,250,Ravnica Allegiance,English
1,Orzhov Guildgate,,252,Ravnica Allegiance,English
1,Orzhov Guildgate,,253,Ravnica Allegiance,English
1,Rakdos Guildgate,,255,Ravnica Allegiance,English
1,Rakdos Guildgate,,256,Ravnica Allegiance,English
1,Simic Guildgate,,257,Ravnica Allegiance,English
1,Simic Guildgate,,258,Ravnica Allegiance,English
1,Blade Instructor,,1,Guilds of Ravnica,English
1,Conclave Tribunal,,6,Guilds of Ravnica,English
1,Haazda Marshal,,13,Guilds of Ravnica,English
1,Healer's Hawk,,14,Guilds of Ravnica,English
