Count,Name,Foil,Card Number,Edition,Language
2,Daggerdrome Imp,,60,Return to Ravnica,English
1,Ultimate Price,,82,Return to Ravnica,English
1,Deadbridge Goliath,,120,Return to Ravnica,English
4,Drudge Beetle,,122,Return to Ravnica,English
2,Dreg Mangler,,158,Return to Ravnica,English
2,Golgari Charm,,164,Return to Ravnica,English
3,Korozda Guildmage,,176,Return to Ravnica,English
2,Slitherhead,,222,Return to Ravnica,English
3,Golgari Guildgate,,239,Return to Ravnica,English
2,Swamp,,260,Return to Ravnica,English
2,Swamp,,261,Return to Ravnica,English
2,Swamp,,262,Return to Ravnica,English
1,Swamp,,263,Return to Ravnica,English
2,Forest,,270,Return to Ravnica,English
2,Forest,,271,Return to Ravnica,English
2,Forest,,272,Return to Ravnica,English
2,Forest,,273,Return to Ravnica,English
1,Disciple of Bolas,,88,Magic 2013,English
4,Vampire Nighthawk,,112,Magic 2013,English
4,Evolving Wilds,,224,Magic 2013,English
1,Druid's Familiar,,175,Avacyn Restored,English
2,Trusted Forcemage,,199,Avacyn Restored,English
1,Ulvenwald Tracker,,200,Avacyn Restored,English
1,Wolfir Silverheart,,206,Avacyn Restored,English
4,Tragic Slip,,76,Dark Ascension,English
3,Dawntreader Elk,,111,Dark Ascension,English
1,Grim Backwoods,,156,Dark Ascension,English
2,Victim of Night,,124,Innistrad,English
1,Woodland Cemetery,,249,Innistrad,English
,,,,,
,SIDEBOARD,,,,
2,Duress,,90,Magic 2013,English
3,Vile Rebirth,,115,Magic 2013,English
1,Thragtusk,,193,Magic 2013,English
4,Strangleroot Geist,,127,Dark Ascension,English
3,Bramblecrush,,172,Innistrad,English
2,Ghost Quarter,,240,Innistrad,English
