Count,Name,Foil,Card Number,Edition,Language
1,Blustersquall,,30,Return to Ravnica,English
1,Downsize,,38,Return to Ravnica,English
3,Runewing,,48,Return to Ravnica,English
2,Annihilating Fire,,85,Return to Ravnica,English
3,Cobblebrute,,91,Return to Ravnica,English
2,Electrickery,,93,Return to Ravnica,English
1,Explosive Impact,,94,Return to Ravnica,English
2,Goblin Rally,,95,Return to Ravnica,English
2,Guttersnipe,,98,Return to Ravnica,English
1,Mizzium Mortars,,101,Return to Ravnica,English
1,Pursuit of Flight,,102,Return to Ravnica,English
1,Tenement Crasher,,108,Return to Ravnica,English
2,Goblin Electromancer,,163,Return to Ravnica,English
1,Hypersonic Dragon,foil,170,Return to Ravnica,English
1,Nivix Guildmage,,182,Return to Ravnica,English
1,Teleportal,,202,Return to Ravnica,English
1,Thoughtflare,,203,Return to Ravnica,English
2,Blistercoil Weird,,211,Return to Ravnica,English
2,Izzet Keyrune,,230,Return to Ravnica,English
1,Izzet Guildgate,,242,Return to Ravnica,English
3,Island,,255,Return to Ravnica,English
3,Island,,256,Return to Ravnica,English
2,Island,,257,Return to Ravnica,English
2,Island,,258,Return to Ravnica,English
2,Island,,259,Return to Ravnica,English
3,Mountain,,265,Return to Ravnica,English
3,Mountain,,266,Return to Ravnica,English
2,Mountain,,267,Return to Ravnica,English
2,Mountain,,268,Return to Ravnica,English
2,Mountain,,269,Return to Ravnica,English
1,Welkin Tern,,79,Magic 2013,English
1,Chandra's Fury,,124,Magic 2013,English
2,Krenko's Command,,139,Magic 2013,English
1,Wild Guess,,157,Magic 2013,English
