Count,Name,Foil,Card Number,Edition,Language
1,Assassin's Strike,,57,Return to Ravnica,English
1,Deviant Glee,,65,Return to Ravnica,English
1,Mind Rot,,70,Return to Ravnica,English
1,Sewer Shambler,,75,Return to Ravnica,English
1,Shrieking Affliction,,76,Return to Ravnica,English
1,Bellows Lizard,,88,Return to Ravnica,English
1,Bloodfray Giant,,89,Return to Ravnica,English
2,Gore-House Chainwalker,,96,Return to Ravnica,English
1,Minotaur Aggressor,,100,Return to Ravnica,English
1,Traitorous Instinct,,109,Return to Ravnica,English
1,Auger Spree,,144,Return to Ravnica,English
1,Carnival Hellsteed,foil,147,Return to Ravnica,English
1,Hellhole Flailer,,167,Return to Ravnica,English
1,Rix Maadi Guildmage,,192,Return to Ravnica,English
1,Spawn of Rix Maadi,,199,Return to Ravnica,English
1,Cryptborn Horror,,212,Return to Ravnica,English
2,Rakdos Cackler,,220,Return to Ravnica,English
2,Rakdos Shred-Freak,,221,Return to Ravnica,English
2,Rakdos Keyrune,,232,Return to Ravnica,English
1,Rakdos Guildgate,,244,Return to Ravnica,English
3,Swamp,,260,Return to Ravnica,English
3,Swamp,,261,Return to Ravnica,English
2,Swamp,,262,Return to Ravnica,English
2,Swamp,,263,Return to Ravnica,English
2,Swamp,,264,Return to Ravnica,English
3,Mountain,,265,Return to Ravnica,English
3,Mountain,,266,Return to Ravnica,English
2,Mountain,,267,Return to Ravnica,English
2,Mountain,,268,Return to Ravnica,English
2,Mountain,,269,Return to Ravnica,English
1,Blood Reckoning,,81,Magic 2013,English
1,Cower in Fear,,84,Magic 2013,English
2,Crippling Blight,,85,Magic 2013,English
1,Ravenous Rats,,106,Magic 2013,English
3,Tormented Soul,,111,Magic 2013,English
2,Zombie Goliath,,119,Magic 2013,English
2,Canyon Minotaur,,122,Magic 2013,English
