Count,Name,Foil,Card Number,Edition,Language
1,Abyssal Specter,,1,Battle Royale Box Set,English
1,Advance Scout,,2,Battle Royale Box Set,English
1,Air Elemental,,3,Battle Royale Box Set,English
1,Angelic Page,,4,Battle Royale Box Set,English
1,Arc Lightning,,5,Battle Royale Box Set,English
1,Argothian Elder,,6,Battle Royale Box Set,English
1,Armored Pegasus,,7,Battle Royale Box Set,English
1,Azure Drake,,8,Battle Royale Box Set,English
1,Blinking Spirit,,9,Battle Royale Box Set,English
1,Broken Fall,,10,Battle Royale Box Set,English
1,Cackling Fiend,,11,Battle Royale Box Set,English
1,Catastrophe,,12,Battle Royale Box Set,English
1,Cinder Marsh,,13,Battle Royale Box Set,English
1,Control Magic,,14,Battle Royale Box Set,English
1,Counterspell,,15,Battle Royale Box Set,English
1,Crazed Skirge,,16,Battle Royale Box Set,English
1,Curfew,,17,Battle Royale Box Set,English
1,Dark Ritual,,18,Battle Royale Box Set,English
1,Dirtcowl Wurm,,19,Battle Royale Box Set,English
1,Disenchant,,20,Battle Royale Box Set,English
1,Disruptive Student,,21,Battle Royale Box Set,English
1,Drifting Meadow,,22,Battle Royale Box Set,English
1,Elvish Lyrist,,23,Battle Royale Box Set,English
1,Exhume,,24,Battle Royale Box Set,English
1,Fecundity,,25,Battle Royale Box Set,English
1,Fertile Ground,,26,Battle Royale Box Set,English
1,Fire Ants,,27,Battle Royale Box Set,English
1,Flood,,28,Battle Royale Box Set,English
1,Giant Growth,,29,Battle Royale Box Set,English
1,Gorilla Warrior,,30,Battle Royale Box Set,English
1,Healing Salve,,31,Battle Royale Box Set,English
1,Heat Ray,,32,Battle Royale Box Set,English
1,Hurricane,,33,Battle Royale Box Set,English
1,Infantry Veteran,,34,Battle Royale Box Set,English
1,Land Tax,,35,Battle Royale Box Set,English
1,Lhurgoyf,,36,Battle Royale Box Set,English
1,Lightning Elemental,,37,Battle Royale Box Set,English
1,Living Death,,38,Battle Royale Box Set,English
1,Llanowar Elves,,39,Battle Royale Box Set,English
1,Man-o'-War,,40,Battle Royale Box Set,English
1,Mana Leak,,41,Battle Royale Box Set,English
1,Maniacal Rage,,42,Battle Royale Box Set,English
1,Manta Riders,,43,Battle Royale Box Set,English
1,Master Decoy,,44,Battle Royale Box Set,English
1,Mogg Hollows,,45,Battle Royale Box Set,English
1,Nekrataal,,46,Battle Royale Box Set,English
1,Opportunity,,47,Battle Royale Box Set,English
1,Pacifism,,48,Battle Royale Box Set,English
1,Pestilence,,49,Battle Royale Box Set,English
1,Phyrexian Ghoul,,50,Battle Royale Box Set,English
1,Pincher Beetles,,51,Battle Royale Box Set,English
1,Plated Rootwalla,,52,Battle Royale Box Set,English
1,Polluted Mire,,53,Battle Royale Box Set,English
1,Prodigal Sorcerer,,54,Battle Royale Box Set,English
1,Raging Goblin,,55,Battle Royale Box Set,English
1,Ray of Command,,56,Battle Royale Box Set,English
1,Reanimate,,57,Battle Royale Box Set,English
1,Remote Isle,,58,Battle Royale Box Set,English
1,River Boa,,59,Battle Royale Box Set,English
1,Rolling Thunder,,60,Battle Royale Box Set,English
1,Sadistic Glee,,61,Battle Royale Box Set,English
1,Sanctum Custodian,,62,Battle Royale Box Set,English
1,Sanctum Guardian,,63,Battle Royale Box Set,English
1,Sandstorm,,64,Battle Royale Box Set,English
1,Scaled Wurm,,65,Battle Royale Box Set,English
1,Scryb Sprites,,66,Battle Royale Box Set,English
1,Seasoned Marshal,,67,Battle Royale Box Set,English
1,Seeker of Skybreak,,68,Battle Royale Box Set,English
1,Sengir Vampire,,69,Battle Royale Box Set,English
1,Sewer Rats,,70,Battle Royale Box Set,English
1,Shower of Sparks,,71,Battle Royale Box Set,English
1,Skyshroud Elite,,72,Battle Royale Box Set,English
1,Slippery Karst,,73,Battle Royale Box Set,English
1,Soltari Foot Soldier,,74,Battle Royale Box Set,English
1,Songstitcher,,75,Battle Royale Box Set,English
1,Soul Warden,,76,Battle Royale Box Set,English
1,Spike Colony,,77,Battle Royale Box Set,English
1,Spike Feeder,,78,Battle Royale Box Set,English
1,Spike Weaver,,79,Battle Royale Box Set,English
1,Spike Worker,,80,Battle Royale Box Set,English
1,Steam Blast,,81,Battle Royale Box Set,English
1,Subversion,,82,Battle Royale Box Set,English
1,Sun Clasp,,83,Battle Royale Box Set,English
1,Swords to Plowshares,,84,Battle Royale Box Set,English
1,Symbiosis,,85,Battle Royale Box Set,English
1,Syphon Soul,,86,Battle Royale Box Set,English
1,Terror,,87,Battle Royale Box Set,English
1,Thalakos Lowlands,,88,Battle Royale Box Set,English
1,Tranquility,,89,Battle Royale Box Set,English
1,Trumpeting Armodon,,90,Battle Royale Box Set,English
1,Unnerve,,91,Battle Royale Box Set,English
1,Uthden Troll,,92,Battle Royale Box Set,English
1,Vec Townships,,93,Battle Royale Box Set,English
1,Village Elder,,94,Battle Royale Box Set,English
1,Wall of Heat,,95,Battle Royale Box Set,English
1,Weakness,,96,Battle Royale Box Set,English
1,Wildfire Emissary,,97,Battle Royale Box Set,English
1,Wind Drake,,98,Battle Royale Box Set,English
1,Windfall,,99,Battle Royale Box Set,English
1,Wrath of God,,100,Battle Royale Box Set,English
1,Forest,,101,Battle Royale Box Set,English
2,Forest,,102,Battle Royale Box Set,English
2,Forest,,103,Battle Royale Box Set,English
2,Forest,,104,Battle Royale Box Set,English
2,Forest,,105,Battle Royale Box Set,English
2,Forest,,106,Battle Royale Box Set,English
1,Forest,,107,Battle Royale Box Set,English
1,Forest,,108,Battle Royale Box Set,English
2,Forest,,109,Battle Royale Box Set,English
2,Island,,110,Battle Royale Box Set,English
1,Island,,111,Battle Royale Box Set,English
2,Island,,112,Battle Royale Box Set,English
2,Island,,113,Battle Royale Box Set,English
2,Island,,114,Battle Royale Box Set,English
2,Mountain,,115,Battle Royale Box Set,English
2,Mountain,,116,Battle Royale Box Set,English
2,Mountain,,117,Battle Royale Box Set,English
1,Mountain,,118,Battle Royale Box Set,English
2,Mountain,,119,Battle Royale Box Set,English
1,Mountain,,120,Battle Royale Box Set,English
1,Mountain,,121,Battle Royale Box Set,English
1,Mountain,,122,Battle Royale Box Set,English
1,Mountain,,123,Battle Royale Box Set,English
1,Plains,,124,Battle Royale Box Set,English
1,Plains,,125,Battle Royale Box Set,English
2,Plains,,126,Battle Royale Box Set,English
2,Plains,,127,Battle Royale Box Set,English
2,Plains,,128,Battle Royale Box Set,English
1,Plains,,129,Battle Royale Box Set,English
2,Plains,,130,Battle Royale Box Set,English
2,Plains,,131,Battle Royale Box Set,English
2,Plains,,132,Battle Royale Box Set,English
2,Swamp,,133,Battle Royale Box Set,English
2,Swamp,,134,Battle Royale Box Set,English
2,Swamp,,135,Battle Royale Box Set,English
2,Swamp,,136,Battle Royale Box Set,English
