Count,Name,Foil,Card Number,Edition,Language
1,Arc Lightning,,5,Battle Royale Box Set,English
1,Broken Fall,,10,Battle Royale Box Set,English
1,Gorilla Warrior,,30,Battle Royale Box Set,English
1,Lhurgoyf,,36,Battle Royale Box Set,English
1,Llanowar Elves,,39,Battle Royale Box Set,English
1,Maniacal Rage,,42,Battle Royale Box Set,English
1,Mogg Hollows,,45,Battle Royale Box Set,English
1,Pincher Beetles,,51,Battle Royale Box Set,English
1,Plated Rootwalla,,52,Battle Royale Box Set,English
1,Raging Goblin,,55,Battle Royale Box Set,English
1,River Boa,,59,Battle Royale Box Set,English
1,Scryb Sprites,,66,Battle Royale Box Set,English
1,Seeker of Skybreak,,68,Battle Royale Box Set,English
1,Shower of Sparks,,71,Battle Royale Box Set,English
1,Skyshroud Elite,,72,Battle Royale Box Set,English
1,Slippery Karst,,73,Battle Royale Box Set,English
1,Spike Feeder,,78,Battle Royale Box Set,English
1,Spike Weaver,,79,Battle Royale Box Set,English
1,Steam Blast,,81,Battle Royale Box Set,English
1,Symbiosis,,85,Battle Royale Box Set,English
1,Tranquility,,89,Battle Royale Box Set,English
1,Trumpeting Armodon,,90,Battle Royale Box Set,English
1,Uthden Troll,,92,Battle Royale Box Set,English
1,Village Elder,,94,Battle Royale Box Set,English
1,Wildfire Emissary,,97,Battle Royale Box Set,English
1,Forest,,101,Battle Royale Box Set,English
2,Forest,,104,Battle Royale Box Set,English
2,Forest,,106,Battle Royale Box Set,English
1,Forest,,107,Battle Royale Box Set,English
1,Forest,,108,Battle Royale Box Set,English
2,Forest,,109,Battle Royale Box Set,English
1,Mountain,,116,Battle Royale Box Set,English
1,Mountain,,118,Battle Royale Box Set,English
1,Mountain,,120,Battle Royale Box Set,English
1,Mountain,,121,Battle Royale Box Set,English
1,Mountain,,122,Battle Royale Box Set,English
1,Mountain,,123,Battle Royale Box Set,English
