Count,Name,Foil,Card Number,Edition,Language
1,Abyssal Specter,,1,Battle Royale Box Set,English
1,Cackling Fiend,,11,Battle Royale Box Set,English
1,Cinder Marsh,,13,Battle Royale Box Set,English
1,Crazed Skirge,,16,Battle Royale Box Set,English
1,Dark Ritual,,18,Battle Royale Box Set,English
1,Exhume,,24,Battle Royale Box Set,English
1,Fire Ants,,27,Battle Royale Box Set,English
1,Heat Ray,,32,Battle Royale Box Set,English
1,Lightning Elemental,,37,Battle Royale Box Set,English
1,Living Death,,38,Battle Royale Box Set,English
1,Nekrataal,,46,Battle Royale Box Set,English
1,Pestilence,,49,Battle Royale Box Set,English
1,Phyrexian Ghoul,,50,Battle Royale Box Set,English
1,Polluted Mire,,53,Battle Royale Box Set,English
1,Reanimate,,57,Battle Royale Box Set,English
1,Rolling Thunder,,60,Battle Royale Box Set,English
1,Sadistic Glee,,61,Battle Royale Box Set,English
1,Sengir Vampire,,69,Battle Royale Box Set,English
1,Sewer Rats,,70,Battle Royale Box Set,English
1,Subversion,,82,Battle Royale Box Set,English
1,Syphon Soul,,86,Battle Royale Box Set,English
1,Terror,,87,Battle Royale Box Set,English
1,Unnerve,,91,Battle Royale Box Set,English
1,Wall of Heat,,95,Battle Royale Box Set,English
1,Weakness,,96,Battle Royale Box Set,English
2,Mountain,,115,Battle Royale Box Set,English
1,Mountain,,116,Battle Royale Box Set,English
2,Mountain,,117,Battle Royale Box Set,English
2,Mountain,,119,Battle Royale Box Set,English
2,Swamp,,133,Battle Royale Box Set,English
2,Swamp,,134,Battle Royale Box Set,English
2,Swamp,,135,Battle Royale Box Set,English
2,Swamp,,136,Battle Royale Box Set,English
