Count,Name,Foil,Card Number,Edition,Language
1,Air Elemental,,3,Battle Royale Box Set,English
1,Azure Drake,,8,Battle Royale Box Set,English
1,Blinking Spirit,,9,Battle Royale Box Set,English
1,Control Magic,,14,Battle Royale Box Set,English
1,Counterspell,,15,Battle Royale Box Set,English
1,Curfew,,17,Battle Royale Box Set,English
1,Disenchant,,20,Battle Royale Box Set,English
1,Disruptive Student,,21,Battle Royale Box Set,English
1,Flood,,28,Battle Royale Box Set,English
1,Healing Salve,,31,Battle Royale Box Set,English
1,Infantry Veteran,,34,Battle Royale Box Set,English
1,Man-o'-War,,40,Battle Royale Box Set,English
1,Mana Leak,,41,Battle Royale Box Set,English
1,Manta Riders,,43,Battle Royale Box Set,English
1,Opportunity,,47,Battle Royale Box Set,English
1,Prodigal Sorcerer,,54,Battle Royale Box Set,English
1,Ray of Command,,56,Battle Royale Box Set,English
1,Remote Isle,,58,Battle Royale Box Set,English
1,Songstitcher,,75,Battle Royale Box Set,English
1,Soul Warden,,76,Battle Royale Box Set,English
1,Swords to Plowshares,,84,Battle Royale Box Set,English
1,Thalakos Lowlands,,88,Battle Royale Box Set,English
1,Wind Drake,,98,Battle Royale Box Set,English
1,Windfall,,99,Battle Royale Box Set,English
1,Wrath of God,,100,Battle Royale Box Set,English
2,Island,,110,Battle Royale Box Set,English
1,Island,,111,Battle Royale Box Set,English
2,Island,,112,Battle Royale Box Set,English
2,Island,,113,Battle Royale Box Set,English
2,Island,,114,Battle Royale Box Set,English
2,Plains,,126,Battle Royale Box Set,English
2,Plains,,130,Battle Royale Box Set,English
2,Plains,,131,Battle Royale Box Set,English
